FILENAME: `BIPs/00batched/2025-W6/1-0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f.json`
MULTISIG: `multisigs/dao (mainnet:0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f)`
COMMIT: `81a3b94595e9ac7f58a4c9cff367209c71977243`
CHAIN(S): `mainnet`
TENDERLY: [`🟩 SUCCESS`](https://www.tdly.co/shared/simulation/bb92ae7e-28d6-4ae4-b6e9-aa3ea9a82562)

```
+----------+-------------------------------------------------+-----------------------------------------------------------------------------+---------------------------------------+---------+----------+
| function | token_symbol                                    | recipient                                                                   | amount                                |   bip   | tx_index |
+----------+-------------------------------------------------+-----------------------------------------------------------------------------+---------------------------------------+---------+----------+
| transfer | USDC:0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 | multisigs/beets_service_provider:0x811912c19eEF91b9Dc3cA52fc426590cFB84FC86 | 174000.0 (RAW: 174000000000)          | BIP-753 |    0     |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | payees/karpatkey_payments:0x58e6c7ab55Aa9012eAccA16d1ED4c15795669E1C        | 2453.85 (RAW: 2453850000000000000000) | BIP-013 |   111    |
| transfer | USDC:0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 | payees/karpatkey_payments:0x58e6c7ab55Aa9012eAccA16d1ED4c15795669E1C        | 50727.0 (RAW: 50727000000)            | BIP-013 |   112    |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | EOA/dao/mounibec:0x0951FF0835302929d6c0162b3d2495A85e38ec3A                 | 500.0 (RAW: 500000000000000000000)    | BIP-762 |   117    |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | EOA/dao/0xMaki:0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1                   | 500.0 (RAW: 500000000000000000000)    | BIP-762 |   118    |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | EOA/dao/0xSausageDoge:0x59693BA1A5764e087CE166ac0E0085Fc071B9ea7            | 500.0 (RAW: 500000000000000000000)    | BIP-762 |   119    |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | EOA/emeritus/tritium_signer:0xcf4fF1e03830D692F52EB094c52A5A6A2181Ab3F      | 500.0 (RAW: 500000000000000000000)    | BIP-762 |   120    |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | payees/nanexcool_payments:0x72BA1965320ab5352FD6D68235Cc3C5306a6FFA2        | 500.0 (RAW: 500000000000000000000)    | BIP-762 |   121    |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | EOA/dao/StefanDGeorge:0x9F7dfAb2222A473284205cdDF08a677726d786A0            | 500.0 (RAW: 500000000000000000000)    | BIP-762 |   122    |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | EOA/contributors-payees/gosuto:0x3f993093c3917Fe7A117f37cFD008775249f59c8   | 500.0 (RAW: 500000000000000000000)    | BIP-762 |   123    |
+----------+-------------------------------------------------+-----------------------------------------------------------------------------+---------------------------------------+---------+----------+
```
FILENAME: `BIPs/00batched/2025-W6/1-0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f.json`
MULTISIG: `multisigs/dao (mainnet:0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f)`
COMMIT: `81a3b94595e9ac7f58a4c9cff367209c71977243`
CHAIN(S): `mainnet`
TENDERLY: [`🟩 SUCCESS`](https://www.tdly.co/shared/simulation/ab76c416-6b8e-463d-bd6f-e5918be294e8)

```
+-----------------------+---------------+--------------------------------------------+-----------------------------------------------------------------------------------------------+--------------------------------------------------------------------+---------+----------+
| function              | caller_name   | caller_address                             | fx_paths                                                                                      | action_ids                                                         |   bip   | tx_index |
+-----------------------+---------------+--------------------------------------------+-----------------------------------------------------------------------------------------------+--------------------------------------------------------------------+---------+----------+
| Authorizer/grantRole  | multisigs/dao | 0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f | 20230217-gnosis-root-gauge-factory/GnosisRootGauge/setRelativeWeightCap(uint256)              | 0xae60dce27f51ce5815357b9f6b40f200557867f8222262a1646c005d09b7dfba | BIP-750 |   113    |
|                       |               |                                            | 20220823-arbitrum-root-gauge-factory-v2/ArbitrumRootGauge/setRelativeWeightCap(uint256)       |                                                                    |         |          |
|                       |               |                                            | 20220823-optimism-root-gauge-factory-v2/OptimismRootGauge/setRelativeWeightCap(uint256)       |                                                                    |         |          |
|                       |               |                                            | 20230215-single-recipient-gauge-factory-v2/SingleRecipientGauge/setRelativeWeightCap(uint256) |                                                                    |         |          |
|                       |               |                                            | 20230526-zkevm-root-gauge-factory/PolygonZkEVMRootGauge/setRelativeWeightCap(uint256)         |                                                                    |         |          |
|                       |               |                                            | 20230911-base-root-gauge-factory/BaseRootGauge/setRelativeWeightCap(uint256)                  |                                                                    |         |          |
|                       |               |                                            | 20220822-mainnet-gauge-factory-v2/LiquidityGaugeV5/setRelativeWeightCap(uint256)              |                                                                    |         |          |
|                       |               |                                            | 20220823-polygon-root-gauge-factory-v2/PolygonRootGauge/setRelativeWeightCap(uint256)         |                                                                    |         |          |
|                       |               |                                            | 20240522-fraxtal-root-gauge-factory/OptimisticRootGauge/setRelativeWeightCap(uint256)         |                                                                    |         |          |
|                       |               |                                            | 20230529-avalanche-root-gauge-factory/AvalancheRootGauge/setRelativeWeightCap(uint256)        |                                                                    |         |          |
|                       |               |                                            | 20230811-avalanche-root-gauge-factory-v2/AvalancheRootGauge/setRelativeWeightCap(uint256)     |                                                                    |         |          |
| Authorizer/revokeRole | multisigs/dao | 0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f | 20230217-gnosis-root-gauge-factory/GnosisRootGauge/setRelativeWeightCap(uint256)              | 0xae60dce27f51ce5815357b9f6b40f200557867f8222262a1646c005d09b7dfba | BIP-750 |   115    |
|                       |               |                                            | 20220823-arbitrum-root-gauge-factory-v2/ArbitrumRootGauge/setRelativeWeightCap(uint256)       |                                                                    |         |          |
|                       |               |                                            | 20220823-optimism-root-gauge-factory-v2/OptimismRootGauge/setRelativeWeightCap(uint256)       |                                                                    |         |          |
|                       |               |                                            | 20230215-single-recipient-gauge-factory-v2/SingleRecipientGauge/setRelativeWeightCap(uint256) |                                                                    |         |          |
|                       |               |                                            | 20230526-zkevm-root-gauge-factory/PolygonZkEVMRootGauge/setRelativeWeightCap(uint256)         |                                                                    |         |          |
|                       |               |                                            | 20230911-base-root-gauge-factory/BaseRootGauge/setRelativeWeightCap(uint256)                  |                                                                    |         |          |
|                       |               |                                            | 20220822-mainnet-gauge-factory-v2/LiquidityGaugeV5/setRelativeWeightCap(uint256)              |                                                                    |         |          |
|                       |               |                                            | 20220823-polygon-root-gauge-factory-v2/PolygonRootGauge/setRelativeWeightCap(uint256)         |                                                                    |         |          |
|                       |               |                                            | 20240522-fraxtal-root-gauge-factory/OptimisticRootGauge/setRelativeWeightCap(uint256)         |                                                                    |         |          |
|                       |               |                                            | 20230529-avalanche-root-gauge-factory/AvalancheRootGauge/setRelativeWeightCap(uint256)        |                                                                    |         |          |
|                       |               |                                            | 20230811-avalanche-root-gauge-factory-v2/AvalancheRootGauge/setRelativeWeightCap(uint256)     |                                                                    |         |          |
+-----------------------+---------------+--------------------------------------------+-----------------------------------------------------------------------------------------------+--------------------------------------------------------------------+---------+----------+
```
FILENAME: `BIPs/00batched/2025-W6/1-0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f.json`
MULTISIG: `multisigs/dao (mainnet:0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f)`
COMMIT: `81a3b94595e9ac7f58a4c9cff367209c71977243`
CHAIN(S): `mainnet`
TENDERLY: [`🟩 SUCCESS`](https://www.tdly.co/shared/simulation/d54d1093-d428-4a0a-b7aa-68090b4ef0c3)

```
+---------------+-----------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------+-------------------------------+-------------------------------------------------------------------+---------+----------+
| function      | entrypoint                                                                                                      | target                                                                                               | selector                      | parsed_inputs                                                     |   bip   | tx_index |
+---------------+-----------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------+-------------------------------+-------------------------------------------------------------------+---------+----------+
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xb71C90F165cf99d4004499fF058E265Aa68fAC85 (gauges/ECLP-GHO-pyUSD-gauge-b71c)                        | killGauge()                   |                                                                   | BIP-763 |    3     |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xAf1b4bfA0a69B9e669d925888b99741E15e37253 (gauges/ECLP-GHO-pyUSD-gauge-af1b)                        | killGauge()                   |                                                                   | BIP-763 |    4     |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xBE0FC6A0cc4eeeB168dfbDA75523c43dFE7D1F9C (root_gauges/50wstETH/50sFRAX-arbitrum-root-be0f)         | killGauge()                   |                                                                   | BIP-750 |    9     |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x4D82D6d68aBfC6B2C9A9fEd775cF24Dbf8b014bE (root_gauges/sUSDe/sFRAX-arbitrum-root-4d82)              | killGauge()                   |                                                                   | BIP-750 |    10    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xCe540832f7c790d25345Aa19FB1Db3cfDEA04611 (None)                                                    | killGauge()                   |                                                                   | BIP-750 |    11    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xa8D974288Fe44ACC329D7d7a179707D27Ec4dd1c (root_gauges/50tBTC-50WETH-arbitrum-root-a8d9)            | killGauge()                   |                                                                   | BIP-750 |    12    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xC65086819f5d32185D9FFCeAe2AE9A6CDCe3F346 (root_gauges/50MOLANDAK-50USDT-arbitrum-root-c650)        | killGauge()                   |                                                                   | BIP-750 |    13    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x99e2fAfD901645FB611F6D56476AF8Ad25263ea5 (root_gauges/80OVN/20wUSD+-arbitrum-root-99e2)            | killGauge()                   |                                                                   | BIP-750 |    14    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xf8aE0F56f7f95f6D3B773799ee85724efD651583 (root_gauges/50OOGABOOGA-50USDC -arbitrum-root-f8ae)      | killGauge()                   |                                                                   | BIP-750 |    15    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x7542967F91fD6EE8433A41B22C2be8972A002CA5 (root_gauges/jitoSOL/wSOL-arbitrum-root-7542)             | killGauge()                   |                                                                   | BIP-750 |    16    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xa8Bb331a84032b156E5c670152A5Bd48f5DeC784 (root_gauges/50wstETH/50-4Pool-arbitrum-root-a8bb)        | killGauge()                   |                                                                   | BIP-750 |    17    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x25DDcad849de576c2A6c124984cE59e62739156D (root_gauges/USDF/USDC-arbitrum-root-25dd)                | killGauge()                   |                                                                   | BIP-750 |    18    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x2aBd1863C84CdfEA63581D5b4BAb89B690B39DdF (root_gauges/sFRAX/FRAX-arbitrum-root-2abd)               | killGauge()                   |                                                                   | BIP-750 |    19    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x5b006e53df539773e109DBbf392dEfF6E87E2781 (root_gauges/50DFX-50WETH-arbitrum-root-5b00)             | killGauge()                   |                                                                   | BIP-750 |    20    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xB66E8D615F8109cA52D47D9cB65Fc4edcF9c1342 (root_gauges/plsRDNT-Stable-arbitrum-root-b66e)           | killGauge()                   |                                                                   | BIP-750 |    21    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x5A482e8478d63219bC33C7F1d7Cdb599039ABad7 (root_gauges/gUSDC/USDC-arbitrum-root-5a48)               | killGauge()                   |                                                                   | BIP-750 |    22    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x1461C4a373d27977f0D343Ba33C22870c89F9dF0 (root_gauges/20WETH-80PAL-arbitrum-root-1461)             | killGauge()                   |                                                                   | BIP-750 |    23    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x329cAebB9be5144C5727347F64F8B3a3B109ec57 (root_gauges/STAR/USDC-BPT -arbitrum-root-329c)           | killGauge()                   |                                                                   | BIP-750 |    24    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x956074628A64a316086f7125074a8A52d3306321 (root_gauges/yyAVAX-WAVAX-BPT-avalanche-root-9560)        | killGauge()                   |                                                                   | BIP-750 |    25    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xF55ab397a9DB73D352A883eaC4777B14eE2E4bBf (root_gauges/ECLP-MORE-USDC-base-root-f55a)               | killGauge()                   |                                                                   | BIP-750 |    26    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xefF145872582721e1b33931d61c3fE9C1ca66690 (root_gauges/cbETH/WETH-base-root-eff1)                   | killGauge()                   |                                                                   | BIP-750 |    27    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xF6FA773b5E54F4BD20E09d806AB483d58dD55dcb (root_gauges/ 50tBTC-50WETH-base-root-f6fa)               | killGauge()                   |                                                                   | BIP-750 |    30    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x0afde8f3C20085fd45B64d35e7D9DB84749505CB (root_gauges/staBAL3-GNO-BPT-gnosis-root-0afd)            | killGauge()                   |                                                                   | BIP-750 |    31    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x41a8243656Bcf628aC92189558f70d371dd08b4E (root_gauges/staBAL3-WETH-WBTC-BPT-gnosis-root-41a8)      | killGauge()                   |                                                                   | BIP-750 |    32    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x17753fC89894A5eBD8b327F7d6121038e9240437 (gauges/B-baoUSD-sDAI-BPT-gauge-1775)                     | killGauge()                   |                                                                   | BIP-750 |    33    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x21693d09df79D4297A1ED9622Fb1D2E4Eeec5BC5 (gauges/ECLP-pxETH-frxETH-gauge-2169)                     | killGauge()                   |                                                                   | BIP-750 |    34    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x37eCa8DaaB052E722e3bf8ca861aa4e1C047143b (gauges/80SD-20WETH-gauge-37ec)                           | killGauge()                   |                                                                   | BIP-750 |    35    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x4dC35eC8562596ddA6aEe8EceE59a76D4d72b83E (gauges/50SD-50USDC-gauge-4dc3)                           | killGauge()                   |                                                                   | BIP-750 |    36    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x276Df166BC23bC6A84Aac1EA48E1acC32264b652 (gauges/TBY-feb1924-USDC-BPT-gauge-276d)                  | killGauge()                   |                                                                   | BIP-750 |    37    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x2fC4506354166e8B9183FBB6A68cd9C5F3Fb9Bc5 (gauges/B-50COMP-50wstETH-gauge-2fc4)                     | killGauge()                   |                                                                   | BIP-750 |    38    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x69F1077AeCE23D5b0344330B5eB13f05d5e410a1 (gauges/80ARCH-20WETH-gauge-69f1)                         | killGauge()                   |                                                                   | BIP-750 |    39    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xc6b65bc6bF4a5fF4D90fDf7f568cBF8C99419DA1 (gauges/50KEP/50rsETH-gauge-c6b6)                         | killGauge()                   |                                                                   | BIP-750 |    40    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x1249c510e066731FF14422500466A7102603da9e (gauges/80D2D-20USDC-gauge-1249)                          | killGauge()                   |                                                                   | BIP-750 |    41    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C (gauges/ECLP-wstETH-wETH-gauge-df54)                      | killGauge()                   |                                                                   | BIP-750 |    42    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x2e79D6f631177F8E7f08Fbd5110e893e1b1D790A (gauges/33auraBAL-33graviAURA-33WETH-gauge-2e79)          | killGauge()                   |                                                                   | BIP-750 |    43    |
