Root Gauge on Ethereum,current pool ID,poolType,Network,Label,Notes,New poolId,New root gauge,"whitelisted, name, isDeep, tokens added?"
0xA2a9Ebd6f4dEA4802083F2C8D08066A4e695e64B,0x5aee1e99fe86960377de9f88689616916d5dcabe000000000000000000000467,ComposableStable,1,wstETH-rETH-sfrxETH-BPT,Amp: 1000 fee: 0.01,,,
0x5612876e6F6cA370d93873FE28c874e89E741fB9,0x79c58f70905f734641735bc61e45c19dd9ad60bc0000000000000000000004e7,ComposableStable,1,USDC-DAI-USDT,Amp: 5000 fee: 0.005,,,
0x8a88C1f44854C61a466aB55614F6A7778473418b,0x793f2d5cd52dfafe7a1a1b0b3988940ba2d6a63d0000000000000000000004f8,ComposableStable,1,B-vETH-STABLE,no change,,,
0x5aF3B93Fb82ab8691b82a09CBBae7b8D3eB5Ac11,0x7e9afd25f5ec0eb24d7d4b089ae7ecb9651c8b1f000000000000000000000511,ComposableStable,1,B-baoUSD-LUSD-BPT,no change,,,
0xd1c070eBc7Ec77f2134b3Ef75283b6C1fb31a157,0x2e848426aec6dbf2260535a5bea048ed94d9ff3d000000000000000000000536,ComposableStable,1,wbETH-wstETH,Amp: 1500 fee: 0.01,,,
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,ComposableStable,1,ankrETH/wstETH,no change,,,
0xD449Efa0A587f2cb6BE3AE577Bc167a774525810,0x1a44e35d5451e0b78621a1b3e7a53dfaa306b1d000000000000000000000051b,ComposableStable,1,B-baoETH-ETH-BPT,no change,,,
0x6AF7bCA454f3C8165225Ed46FD4d78cc90E81fAA,0xbfce47224b4a938865e3e2727dc34e0faa5b1d82000000000000000000000527,ComposableStable,1,uniETH-WETH,no change,,,
0x1d157Cf1F1339864A3C291D1Bbe786d6Ee682434,0x156c02f3f7fef64a3a9d80ccf7085f23cce91d76000000000000000000000570,ComposableStable,1,vETH/WETH BPT,no change,,,
0xf8C85bd74FeE26831336B51A90587145391a27Ba,0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,ComposableStable,100,bb-WETH-wstETH,no change,,,
0x7F75ecd3cFd8cE8bf45f9639A226121ca8bBe4ff,0x5c78d05b8ecf97507d1cf70646082c54faa4da95000000000000000000000030,ComposableStable,100,bb-agEUR-EURe,no change,,,
0x790DE8ABE859f399023BCe73B5FE5C4870cD816A,0x77e97d4908be63394bc5dff72c8c7bddf1699882000000000000000000000a6a,ComposableStable,137,2eur (agEUR),no change,,,
0x16289F675Ca54312a8fCF99341e7439982888077,0x513cdee00251f39de280d9e5f771a6eafebcc88e000000000000000000000a6b,ComposableStable,137,2eur (PAR),no change,,,
0x31F99c542CbE456FcbBe99D4bf849Af4D7fB5405,0xd80ef9fabfdc3b52e17f74c383cf88ee2efbf0b6000000000000000000000a65,ComposableStable,137,B-tetuQi-Stable,no change,,,
0x455f20c54b5712a84454468c7831f7c431aeEB1C,0xe19ed40a47f9b0cea4ca6d372df66107758913ec000000000000000000000b41,ComposableStable,137,2BRL (BRZ),no change,,,
0xc4b6cc9A444337b1Cb8cBbDD9de4d983f609C391,0x542f16da0efb162d20bf4358efa095b70a100f9e000000000000000000000436,ComposableStable,42161,2BTC,no change,,,
0x25869f277f474FA9459F40F5D4cB0D6A8Ab41967,0x8bc65eed474d1a00555825c91feab6a8255c2107000000000000000000000453,ComposableStable,42161,DOLA/USDC BPT,"no change, use native USDC",,,
0x870Cd189889C1117b33bc8c94394a7477d4EB6fa,0x01990f1e6f7f32296f125ee9469705c1c070054d000000000000000000000461,ComposableStable,42161,Stafi rETH/WETH,no change,,,
0x54f220a891f468629027C3Cc8A58722D4F576402,0x1D0A8A31CDB04EFAC3153237526FB15CC65A252000000000000000000000000F,ComposableStable,1101,wETH/rETH,amp: 1500,,,
0xce99399fb4De36056A6831b159572E271360ea40,0xE1F2C039A68A216DE6DD427BE6C60DECF405762A00000000000000000000000E ,ComposableStable,1101,wETH/wstETH,no change,,,
0xF7d515DC47d5BD57786494628ed766d6bF31cd39,0xDF725FDE6E89981FB30D9BF999841AC2C160B512000000000000000000000010 ,ComposableStable,1101,wstETH/rETH,amp: 3000,,,
0x6F3b31296FD2457eba6Dca3BED65ec79e06c1295,0x20a61b948e33879ce7f23e535cc7baa3bc66c5a9000000000000000000000555,ComposableStable,1,R-DAI-BLP,R<>boosted DAI/sDAI. no amp/fee change,,,
