FILENAME: `BIPs/2026-W5/137_0x138D9E0d0Cc4906C4cD865b38c9340A5CeDD9850_payload.json`
MULTISIG: `multisigs/dao (polygon:0xeE071f4B516F69a1603dA393CdE8e76C40E5Be85)`
COMMIT: `ea2b2462746f0227ea1b84c2b617e277eb17810d`
CHAIN(S): `polygon`
TENDERLY: [`🟩 SUCCESS`](https://www.tdly.co/shared/simulation/f5006cd0-dea7-4722-bc13-2ebfd7d0b691)

```
+------------------+--------------------------------------------------------+-------+---------------------------------------------------------------------------------------------------------------------+------------+----------+
| fx_name          | to                                                     | value | inputs                                                                                                              | bip_number | tx_index |
+------------------+--------------------------------------------------------+-------+---------------------------------------------------------------------------------------------------------------------+------------+----------+
| approve          | 0xf33687811f3ad0cd6b48Dd4B39F9F977BD7165A2 (Not Found) | 0     | {                                                                                                                   | N/A        |   N/A    |
|                  |                                                        |       |   "spender": [                                                                                                      |            |          |
|                  |                                                        |       |     "0x138D9E0d0Cc4906C4cD865b38c9340A5CeDD9850 (N/A)"                                                              |            |          |
|                  |                                                        |       |   ],                                                                                                                |            |          |
|                  |                                                        |       |   "amount": [                                                                                                       |            |          |
|                  |                                                        |       |     "raw:2579122225771925807551932, 18 decimals:2579122.225771925807551932, 6 decimals: 2579122225771925807.551932" |            |          |
|                  |                                                        |       |   ]                                                                                                                 |            |          |
|                  |                                                        |       | }                                                                                                                   |            |          |
| mint             | 0x138D9E0d0Cc4906C4cD865b38c9340A5CeDD9850 (Not Found) | 0     | {                                                                                                                   | N/A        |   N/A    |
|                  |                                                        |       |   "amount": [                                                                                                       |            |          |
|                  |                                                        |       |     "raw:2579122225771925807551932, 18 decimals:2579122.225771925807551932, 6 decimals: 2579122225771925807.551932" |            |          |
|                  |                                                        |       |   ]                                                                                                                 |            |          |
|                  |                                                        |       | }                                                                                                                   |            |          |
| acceptConditions | 0x8BB4C975Ff3c250e0ceEA271728547f3802B36Fd (Not Found) | 0     | "N/A"                                                                                                               | N/A        |   N/A    |
| approve          | 0x138D9E0d0Cc4906C4cD865b38c9340A5CeDD9850 (Not Found) | 0     | {                                                                                                                   | N/A        |   N/A    |
|                  |                                                        |       |   "amount": [                                                                                                       |            |          |
|                  |                                                        |       |     "raw:2579122225771925807551932, 18 decimals:2579122.225771925807551932, 6 decimals: 2579122225771925807.551932" |            |          |
|                  |                                                        |       |   ],                                                                                                                |            |          |
|                  |                                                        |       |   "spender": [                                                                                                      |            |          |
|                  |                                                        |       |     "0x8BB4C975Ff3c250e0ceEA271728547f3802B36Fd (N/A)"                                                              |            |          |
|                  |                                                        |       |   ]                                                                                                                 |            |          |
|                  |                                                        |       | }                                                                                                                   |            |          |
| createCampaign   | 0x8BB4C975Ff3c250e0ceEA271728547f3802B36Fd (Not Found) | 0     | {                                                                                                                   | N/A        |   N/A    |
|                  |                                                        |       |   "newCampaign": [                                                                                                  |            |          |
|                  |                                                        |       |     "0x0000000000000000000000000000000000000000000000000000000000000000",                                           |            |          |
|                  |                                                        |       |     "0x0000000000000000000000000000000000000000 (zero/zero)",                                                       |            |          |
|                  |                                                        |       |     "0x138D9E0d0Cc4906C4cD865b38c9340A5CeDD9850 (N/A)",                                                             |            |          |
|                  |                                                        |       |     "2579122225771925807551932",                                                                                    |            |          |
|                  |                                                        |       |     "4",                                                                                                            |            |          |
|                  |                                                        |       |     "1768999409",                                                                                                   |            |          |
|                  |                                                        |       |     "3600",                                                                                                         |            |          |
|                  |                                                        |       |     "0xfb3b9fff6410a625f18414042cbdd2551ebfeedd30dbe12b4dd99844c05803ef"                                            |            |          |
|                  |                                                        |       |   ]                                                                                                                 |            |          |
|                  |                                                        |       | }                                                                                                                   |            |          |
+------------------+--------------------------------------------------------+-------+---------------------------------------------------------------------------------------------------------------------+------------+----------+
```
