target,platform,amount
0x5f838591A5A8048F0E4C4c7fCca8fD9A25BF0590,balancer,0
0x5f838591A5A8048F0E4C4c7fCca8fD9A25BF0590,aura,0
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,13933.166
0x79eF6103A513951a3b25743DB509E267685726B7,aura,6556.784
0x11Ff498C7c2A29fc4638BF45D9fF995C3297fcA5,balancer,0
0x11Ff498C7c2A29fc4638BF45D9fF995C3297fcA5,aura,3045.48
0x70c6A653e273523FADfB4dF99558737906c230c6,balancer,10092.186
0x70c6A653e273523FADfB4dF99558737906c230c6,aura,4749.264
0xA2a9Ebd6f4dEA4802083F2C8D08066A4e695e64B,balancer,15045.68
0xA2a9Ebd6f4dEA4802083F2C8D08066A4e695e64B,aura,7080.32
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,balancer,0
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,aura,0
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,balancer,0
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,aura,0
0x0052688295413b32626D226a205b95cDB337DE86,balancer,5382.676
0x0052688295413b32626D226a205b95cDB337DE86,aura,2533.024
0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f,payment,120423
0xc43bF12A008d3Cc48AF7da1e8e87622A78dc64da,balancer,0
0xc43bF12A008d3Cc48AF7da1e8e87622A78dc64da,aura,0
0x19A13793af96f534F0027b4b6a3eB699647368e7,balancer,0
0x19A13793af96f534F0027b4b6a3eB699647368e7,aura,2967.52
0x87012b0C3257423fD74a5986F81a0f1954C17a1d,balancer,3092.674
0x87012b0C3257423fD74a5986F81a0f1954C17a1d,aura,1455.376
0x2C2179abce3413E27BDA6917f60ae37F96D01826,balancer,2793.274
0x2C2179abce3413E27BDA6917f60ae37F96D01826,aura,0
0x454eb2f12242397688DbfdA241487e67ed80507a,balancer,0
0x454eb2f12242397688DbfdA241487e67ed80507a,aura,0
0xd1c070eBc7Ec77f2134b3Ef75283b6C1fb31a157,balancer,3364.062
0xd1c070eBc7Ec77f2134b3Ef75283b6C1fb31a157,aura,1583.088
0xcD4722B7c24C29e0413BDCd9e51404B4539D14aE,balancer,23844.574
0xcD4722B7c24C29e0413BDCd9e51404B4539D14aE,aura,11220.976
0x6b641e334f63f0D882538Fe189efC0702d961696,balancer,0
0x6b641e334f63f0D882538Fe189efC0702d961696,aura,0
0x39cEEbb561a65216A4B776ea752d3137e9d6C0F0,balancer,1394.327545
0x39cEEbb561a65216A4B776ea752d3137e9d6C0F0,aura,0
0xDd3b4161D2a4c609884E20Ed71b4e85BE44572E6,balancer,10449.57312
0xDd3b4161D2a4c609884E20Ed71b4e85BE44572E6,aura,4917.446176
0x082AACfaf4db8AC0642CBED50df732D3C309E679,balancer,3466.900108
0x082AACfaf4db8AC0642CBED50df732D3C309E679,aura,1631.482404
0x47D7269829Ba9571D98Eb6DDc34e9C8f1A4C327f,balancer,0
0x47D7269829Ba9571D98Eb6DDc34e9C8f1A4C327f,aura,2216.327634
0x4944b07977A42C15c6a06CF4e204e24c60564104,balancer,1802.835754
0x4944b07977A42C15c6a06CF4e204e24c60564104,aura,0
0xDf464348c4EC2Bf0e5D6926b9f707c8e02301adf,balancer,5211.229912
0xDf464348c4EC2Bf0e5D6926b9f707c8e02301adf,aura,2452.343488
0x54BeFB03BB58687cDE09cd082Bd78410e309D8C7,aura,1320.516606
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,balancer,10422.36
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,aura,4904.64
0xB5044FD339A7b858095324cC3F239C212956C179,balancer,3682.148551
0xB5044FD339A7b858095324cC3F239C212956C179,aura,0
0xd40a3C414Bb6f82fC5625e32895F49E53220f73b,balancer,0
0xd40a3C414Bb6f82fC5625e32895F49E53220f73b,aura,0
