target,platform,amount
0xcD4722B7c24C29e0413BDCd9e51404B4539D14aE,balancer,57881.54
0xcD4722B7c24C29e0413BDCd9e51404B4539D14aE,aura,19707.66
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,22599.25
0x79eF6103A513951a3b25743DB509E267685726B7,aura,7694.65
0x81C452E84B103555C2Dd2DEc0bFABC0c4d6B3065,balancer,0
0x81C452E84B103555C2Dd2DEc0bFABC0c4d6B3065,aura,0
0x01A9502C11f411b494c62746D37e89d6f7078657,balancer,0
0x01A9502C11f411b494c62746D37e89d6f7078657,aura,5085
0xA2a9Ebd6f4dEA4802083F2C8D08066A4e695e64B,balancer,5689.82
0xA2a9Ebd6f4dEA4802083F2C8D08066A4e695e64B,aura,1937.28
0xD973e86547e810117Db131B94708F429A463535E,balancer,0
0xD973e86547e810117Db131B94708F429A463535E,aura,0
0x623F3Dbc761B46F64aE7951700Dd7724cB7d6075,balancer,0
0x623F3Dbc761B46F64aE7951700Dd7724cB7d6075,aura,0
0xE96924D293b9e2961f9763cA058E389D27341D3d,balancer,0
0xE96924D293b9e2961f9763cA058E389D27341D3d,aura,0
0xf53f2fEE2A34f7f8d1BFe1B774A95Cc79C121B34,balancer,0
0xf53f2fEE2A34f7f8d1BFe1B774A95Cc79C121B34,aura,0
0x95201B61EF19C867dA0D093DF20021e1a559452c,balancer,4044.55
0x95201B61EF19C867dA0D093DF20021e1a559452c,aura,1377.1
0x87012b0C3257423fD74a5986F81a0f1954C17a1d,balancer,0
0x87012b0C3257423fD74a5986F81a0f1954C17a1d,aura,0
0x2C2179abce3413E27BDA6917f60ae37F96D01826,balancer,5989.97
0x2C2179abce3413E27BDA6917f60ae37F96D01826,aura,2039.48
0x81C452E84B103555C2Dd2DEc0bFABC0c4d6B3065,balancer,0
0x81C452E84B103555C2Dd2DEc0bFABC0c4d6B3065,aura,0
0x88D07558470484c03d3bb44c3ECc36CAfCF43253,balancer,2348.91
0x88D07558470484c03d3bb44c3ECc36CAfCF43253,aura,799.76
0xA5A0B6598B90d214eAf4d7a6b72d5a89C3b9A72c,balancer,4709.71
0xA5A0B6598B90d214eAf4d7a6b72d5a89C3b9A72c,aura,1603.57
0x21a3De9292569F599e4cf83c741862705bf4f108,balancer,1442.16
0x21a3De9292569F599e4cf83c741862705bf4f108,aura,491.03
0x359EA8618c405023Fc4B98dAb1B01F373792a126,balancer,6071.8
0x359EA8618c405023Fc4B98dAb1B01F373792a126,aura,2067.34
0x519cCe718FCD11AC09194CFf4517F12D263BE067,balancer,22037.86
0x519cCe718FCD11AC09194CFf4517F12D263BE067,aura,7503.51
