,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives
0xe1f2c039a68a216de6dd427be6c60decf405762a00000000000000000000000e,zkevm,B-wstETH-STABLE,967.59,0.00,0.00,0,0,0,0.00,0
0x65da876a95cd5b6a5880710628c436409b1b29fa00000000000000000000005b,zkevm,wstETH/ankrETH ,261.24,0.00,0.00,0,0,0,0.00,0
0x1d0a8a31cdb04efac3153237526fb15cc65a252000000000000000000000000f,zkevm,B-rETH-STABLE,252.14,0.00,0.00,0,0,0,0.00,0
0xdf725fde6e89981fb30d9bf999841ac2c160b512000000000000000000000010,zkevm,B-wstETH/rETH-STABLE,153.40,0.00,0.00,0,0,0,0.00,0
0xb1557cfea06de5a1601a7f0ccf3b515ef431a50d000200000000000000000059,zkevm,ECLP-wETH-rETH,0.00,0.00,0.00,0,0,0,0.00,0
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,3099.62,4916.04,2647.10,7563.13,3956.97,3606.16,0,0
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,1426.21,2261.99,1217.99,3479.98,1820.70,1659.28,0,0
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,613.19,972.53,523.67,1496.20,782.80,713.40,0,0
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,25133.41,13247.93,7133.50,20496.40,10723.55,9772.85,114.97,0
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,13913.26,7333.74,3948.94,11346.33,5936.31,5410.02,63.65,0
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,11060.17,5829.86,3139.16,9019.61,4718.99,4300.62,50.59,0
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,10770.94,5677.41,3057.07,8783.74,4595.58,4188.16,49.26,0
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,9086.56,4789.57,2579.00,7410.12,3876.91,3533.21,41.56,0
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,RDNT-WETH,7404.79,3903.10,2101.67,6038.64,3159.37,2879.27,33.87,0
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,6567.05,3461.52,1863.90,5355.46,2801.93,2553.53,30.04,0
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,6108.83,3219.99,1733.84,4981.76,2606.42,2375.34,27.93,0
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,4082.42,2151.86,1158.69,3329.23,1741.83,1587.40,18.67,0
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,mainnet,ECLP-wstETH-cbETH,3387.39,1785.51,961.43,2762.42,1445.28,1317.14,15.48,0
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,2560.14,1349.46,726.63,2087.80,1092.32,995.48,11.71,0
0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a000200000000000000000445,mainnet,B-staFiETH-WETH-Stable,987.20,520.36,280.19,805.06,418.84,386.22,4.51,0
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,849.46,447.75,241.10,692.74,0,692.74,3.89,0
0x5f1f4e50ba51d723f12385a8a9606afc3a0555f5000200000000000000000465,mainnet,50wstETH-50LDO,211.58,111.52,60.05,0,0,0,-171.58,0
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,150.80,79.49,42.80,0,0,0,-122.29,0
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,110.97,58.49,31.50,0,0,0,-89.99,0
0x1ee442b5326009bb18f2f472d3e0061513d1a0ff000200000000000000000464,mainnet,50rETH-50BADGER,55.57,29.29,15.77,0,0,0,-45.06,0
0x49cbd67651fbabce12d1df18499896ec87bef46f00000000000000000000064a,mainnet,sDAI/3Pool,38.75,20.43,11.00,0,0,0,-31.42,0
0x35c5c8c7b77942f9d44b535fa590d8b503b2b00c00000000000000000000060d,mainnet,DUSD/sDAI,5.95,3.14,1.69,0,0,0,-4.83,0
0xb3b675a9a3cb0df8f66caf08549371bfb76a9867000200000000000000000611,mainnet,ECLP-mevETH-wETH,1.25,0.66,0.35,0,0,0,-1.01,0
0x37b18b10ce5635a84834b26095a0ae5639dcb7520000000000000000000005cb,mainnet,ETHx-WETH-BPT,0.00,0.00,0.00,0,0,0,0.00,0
0x40c806394d03d350420d13cd7d1de1c806f349560000000000000000000005f5,mainnet,qETH/WETH,0.00,0.00,0.00,0,0,0,0.00,0
0x127ecc2318d002664cc4515c9f2b22b09b6aea85000200000000000000000602,mainnet,ECLP-swETH-wstETH,0.00,0.00,0.00,0,0,0,0.00,0
0x6aa6d7542310cdc75d1179b8729e1e6ec8d42bf100020000000000000000064b,mainnet,50wstETH/50sDAI,0.00,0.00,0.00,0,0,0,0.00,0
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,4679.52,8878.01,4780.47,13658.48,7146.00,6512.48,0,0
0xfb4c2e6e6e27b5b4a07a36360c89ede29bb3c9b6000000000000000000000026,base,cbETH/WETH,659.96,414.40,223.14,1182.30,618.57,563.73,544.76,0
0xc771c1a5905420daec317b154eb13e4198ba97d0000000000000000000000023,base,rETH-WETH-BPT,502.77,315.70,169.99,0,0,0,-485.69,0
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,61.15,38.40,20.68,0,0,0,-59.07,0
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,11121.19,3498.06,1883.57,5477.78,2865.93,2611.85,96.15,0
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,3966.98,1247.77,671.88,1953.94,1022.29,931.65,34.29,0
