recipientGaugeAddr,poolAddress,symbol,voteWeight,voteWeightNoBoost,distribution,pctDistribution,boost,staticBoost,dynamicBoost,cap,bonus
0x050fBe33699E56B577c3D6f090eCE9870A0966bd,0x2ce4457acac29da4736ae6f5cd9f583a6b335c27,sFRAX/4POOL,1.109474088,0.2785778344,13302.2547,16.16601592,3.982635912,1.5,3.482635912,10%,10000
0xcf9f895296F5e1D66a7D4dcf1d92e1B435E9f999,0x32df62dc3aed2cd6224193052ce665dc18165841,RDNT-WETH,30.77925478,2.232222703,8228.53,10,13.78861291,1.5,13.28861291,10%,0
0x260cbb867359a1084eC97de4157d06ca74e89415,0x9791d590788598535278552eecd4b211bfc790cb,wstETH-WETH-BPT,3.870456564,0.2553866071,8020.574552,9.747275092,15.15528401,1.75,14.40528401,20%,0
0xcF853F14EF6111435Cb39c0C43C66366cc6300F1,0x2e8ea681fd59c9dc5f32b29de31f782724ef4dcb,50GOLD-25USDC-25WSTETH,7.076931321,5.703924631,6582.824,8,1.240712628,1,1.240712628,8%,0
0x40F6bE0b26B229C4C3b2C3344e91f8eEe22a62fF,0x451b0afd69ace11ec0ac339033d54d2543b088a8,plsRDNT-Stable,2.577191548,0.2159160208,6453.933729,7.843361729,11.93608301,1.75,11.18608301,10%,0
0xd6B875d62c2661eaB66472F36c672e4B512f1135,0xade4a71bb62bec25154cfc7e6ff49a513b491e81,rETH-WETH-BPT,2.598245112,0.1809027854,0,7.427194247,14.36265952,1.75,13.61265952,20%,0
0xeF767E740D83d410794519c2F93Db32e44359a5C,0xb3028ca124b80cfe6e9ca57b70ef2f0ccc41ebd4,50MAGIC-50USDC,1.775330081,0.388154563,4801.369256,5.835026738,4.573770994,1,4.573770994,10%,0
0xa14453084318277b11d38FbE05D857A4f647442B,0x423a1323c871abc9d89eb06855bf5347048fc4a5,4POOL-BPT,1.7463644,0.241536012,3870.155989,4.70333825,7.230244411,1.5,6.730244411,10%,0
0xfC745035F31BCbaEb2D1a89aA9171495c671F6cE,0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54,ankrETH/wstETH-BPT,1.969090593,0.4108134036,3774.783459,4.58743355,4.793150799,1.75,4.043150799,20%,0
0x8ba2D53F34159C5C5e7add60B56C7dE3BBc1DA68,0xd0ec47c54ca5e20aaae4616c25c825c7f48d4069,rETH/wETH BPT,1.169767191,1.005085233,9783.269116,4.462255163,1.163848749,1,1.163848749,10%,0
0xd956246EA5b06DEa930F0A7feC1FFf000436e3f2,0x8bc65eed474d1a00555825c91feab6a8255c2107,DOLA/USDC BPT,1.46595479,1.454131273,3129.934952,3.803759544,1.008130983,1,1.008130983,10%,0
0x089a2E069700B0f2B16f69A6e02b01818ce22e7d,0x835772bab114563746da80806930a9e37aa85344,D2D-rETH,0.9563973377,0.7832186984,2669.00502,3.243598821,1.221111472,1,1.221111472,10%,0
0x5a0e92a55800BB5bFd5ec6C7340BfdE7f0947c3E,0x2d6ced12420a9af5a83765a8c48be2afcd1a8feb,cbETH/rETH/wstETH,0.7860411774,0.433185124,2270.097909,2.758813432,1.814561798,1,1.814561798,10%,0
0x159be31493C26F8F924b3A2a7F428C2f41247e83,0x49b2de7d214070893c038299a57bac5acb8b8a34,GOLD-BAL-AURA-wstETH,1.835735454,1.294690934,1645.706,2,1.417894731,1,1.417894731,2%,0
0x06eaf7bAabEac962301eE21296e711B3052F2c0d,0xc2598280bfea1fe18dfcabd21c7165c40c6859d3,wstETH/sfrxETH,0.4660434747,0.3067649043,1410.213114,1.713809288,1.519220316,1,1.519220316,10%,0
0x2162abD00312a0496B4b72b20A6790Cc07268A25,0xd1882ca6a22f3df54cd675b300b815864de67b20,Savvy TriCrypto Pool,0.5387817068,0.5387817068,1366.789075,1.661036752,1,1,1,10%,0
0x82d2c7B67Eaa5028c89BE86CeA8e1DF5bd2119A1,0xc7fa3a3527435720f0e2a4c1378335324dd4f9b3,55auraBal-45wsteth,0.4757262961,0.4287080248,1345.556124,1.63523269,1.109674344,1,1.109674344,10%,0
0xD7a5122a4e88EC9fBE94301A0Bff6114ddFe5d4B,0xead7e0163e3b33bf0065c9325fc8fb9b18cc8213,STAR/USDC-BPT,0.5071419371,0.5040215967,1310.539195,1.592677179,1.006190886,1,1.006190886,10%,0
0x011417BBED6FC9cefF36C032D431b0eFcBA7f8B3,0xc9f52540976385a84bf416903e1ca3983c539e34,50tBTC-50WETH,0.2111105789,0.1003667805,574.6971536,0.698420196,2.103390962,1,2.103390962,10%,0
0x2cFBD7aCC62709396b3C8c7698808384720A0BbF,0xe25ecadca47419e9aee2700ceab4e7c4b01b94ca,20WETH-80PAL,0.1417953735,0.1390404405,423.6537975,0.5148596378,1.019813897,1,1.019813897,10%,0
0xae30333C4CFFeF017909460384CDD7B073281280,0x39a5bfd5fe32026cd93d81859b4b38cea78d8220,80LUMIN-20rETH,0.1390404405,0.1390404405,422.3180252,0.5132362951,1,1,1,10%,0
0xb438c6cc53315FfA3fcD1bc8b27d6c3155b0B56A,0x542f16da0efb162d20bf4358efa095b70a100f9e,2BTC,0.1553831387,0.05793351686,395.647378,0.4808238871,2.682094014,1,2.682094014,10%,0
