,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,3672.91,5255.16,2829.70,8084.86,4404.10,3680.76,0,0
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,1074.69,1537.65,827.97,2365.62,1288.63,1076.99,0,0
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,522.19,747.14,402.31,1149.45,626.14,523.31,0,0
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,35842.40,17930.69,9654.99,27633.45,15052.88,12580.57,47.77,0
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,22432.51,11222.20,6042.72,17294.82,9421.08,7873.74,29.90,0
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,11632.83,5819.50,3133.57,8968.57,4885.48,4083.09,15.50,0
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,11245.48,5625.72,3029.23,8669.94,4722.81,3947.13,14.99,0
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,11073.36,5539.61,2982.87,8537.24,4650.52,3886.72,14.76,0
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,7960.13,3982.17,2144.25,6137.03,3343.05,2793.98,10.61,0
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,4026.72,2014.43,1084.69,3104.49,1691.12,1413.37,5.37,0
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,3993.09,1997.60,1075.63,3078.55,1676.99,1401.56,5.32,0
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,3991.52,1996.82,1075.21,3077.35,1676.34,1401.01,5.32,0
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,mainnet,ECLP-wstETH-cbETH,3680.14,1841.04,991.33,2837.28,1545.56,1291.72,4.90,0
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,3478.44,1740.14,937.00,2681.78,1460.86,1220.92,4.64,0
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,1809.45,905.20,487.42,1395.03,759.92,635.11,2.41,0
0x49cbd67651fbabce12d1df18499896ec87bef46f00000000000000000000064a,mainnet,sDAI/3Pool,1307.16,653.93,352.11,1007.78,548.97,458.81,1.74,0
0xb3b675a9a3cb0df8f66caf08549371bfb76a9867000200000000000000000611,mainnet,ECLP-mevETH-wETH,837.56,419.00,225.62,645.74,0,645.74,1.12,0
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,797.61,399.02,214.85,614.93,0,614.93,1.06,0
0x40c806394d03d350420d13cd7d1de1c806f349560000000000000000000005f5,mainnet,qETH/WETH,760.89,380.65,204.96,586.62,0,586.62,1.01,0
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,RDNT-WETH,745.34,372.87,200.77,574.63,0,574.63,0.99,0
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,698.32,349.34,188.11,538.38,0,538.38,0.93,0
0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a000200000000000000000445,mainnet,B-staFiETH-WETH-Stable,218.72,109.42,58.92,0,0,0,-168.34,0
0x5f1f4e50ba51d723f12385a8a9606afc3a0555f5000200000000000000000465,mainnet,50wstETH-50LDO,0.00,0.00,0.00,0,0,0,0.00,0
0x1ee442b5326009bb18f2f472d3e0061513d1a0ff000200000000000000000464,mainnet,50rETH-50BADGER,0.00,0.00,0.00,0,0,0,0.00,0
0x37b18b10ce5635a84834b26095a0ae5639dcb7520000000000000000000005cb,mainnet,ETHx-WETH-BPT,0.00,0.00,0.00,0,0,0,0.00,0
0x127ecc2318d002664cc4515c9f2b22b09b6aea85000200000000000000000602,mainnet,ECLP-swETH-wstETH,0.00,0.00,0.00,0,0,0,0.00,0
