FILENAME: `MaxiOps/feeDistributions/2024-08-29/2024-08-29.json`
MULTISIG: `multisigs/fees (mainnet:0x7c68c42De679ffB0f16216154C996C354cF1161B)`
COMMIT: `fa7de3b009f6f7d8e6c0717361e572bfc340a1e1`
CHAIN(S): `mainnet`
TENDERLY: [`🟩 SUCCESS`](https://www.tdly.co/shared/simulation/19963449-7e7f-4020-aff5-0a7d5529800f)
```
+----------+-------------------------------------------------+-------------------------------------------------------------------------+--------------------------------------------------+-----+----------+
| function | token_symbol                                    | recipient                                                               | amount                                           | bip | tx_index |
+----------+-------------------------------------------------+-------------------------------------------------------------------------+--------------------------------------------------+-----+----------+
| transfer | USDC:0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 | multisigs/dao:0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f                | 59772.7157 (RAW: 59772715700)                    | N/A |    1     |
| transfer | USDC:0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 | maxiKeepers/veBalFeeInjector:0x8AD2512819A7eae1dd398973EFfaE48dafBe8255 | 111006.472211 (RAW: 111006472211)                | N/A |    70    |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | maxiKeepers/veBalFeeInjector:0x8AD2512819A7eae1dd398973EFfaE48dafBe8255 | 2172.0969652584886 (RAW: 2172096965258488456117) | N/A |    71    |
+----------+-------------------------------------------------+-------------------------------------------------------------------------+--------------------------------------------------+-----+----------+
```
FILENAME: `MaxiOps/feeDistributions/2024-08-29/2024-08-29.json`
MULTISIG: `multisigs/fees (mainnet:0x7c68c42De679ffB0f16216154C996C354cF1161B)`
COMMIT: `fa7de3b009f6f7d8e6c0717361e572bfc340a1e1`
CHAIN(S): `mainnet`
TENDERLY: [`🟩 SUCCESS`](https://www.tdly.co/shared/simulation/c5621ada-aadd-4836-afe2-eb675979a0bc)
```
+--------------+--------------------------------------------------------------------+---------------------------------------------------+--------------------------------------------------------------------+---------+----------+
| function     | title_and_poolId                                                   | incentive_paid                                    | market_and_prophash                                                | periods | tx_index |
+--------------+--------------------------------------------------------------------+---------------------------------------------------+--------------------------------------------------------------------+---------+----------+
| depositBribe | rETH weETH                                                         | USDC(0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48)  | balancer                                                           | 2       |    2     |
|              | 0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645 |  993.0308(993030800)                              | 0xe5e764574f51f588997f73047f8d1d869102330f6cc45a29cab33e68c39dbc0b |         |          |
| depositBribe | sDAI GYD (GYROE)                                                   | USDC(0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48)  | balancer                                                           | 2       |    3     |
|              | 0x1cce5169bde03f3d5ad0206f6bd057953539dae600020000000000000000062b |  581.6965(581696500)                              | 0x96bed1ad24c620d6b99eaad950ad54f9cb871f2450cf759838a8e4e2f757ac61 |         |          |
| depositBribe | WETH rETH                                                          | USDC(0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48)  | balancer                                                           | 2       |    4     |
|              | 0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112 |  12644.4361(12644436100)                          | 0x9da569f067c8ce7105bddd07c2dd92a257983c53e631290d7c202d27e7072cbf |         |          |
| depositBribe | wstETH-50% ACX-50%                                                 | USDC(0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48)  | balancer                                                           | 2       |    5     |
|              | 0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466 |  3658.0076(3658007600)                            | 0xe71103e76460c687649b7fef55f411db9c3f3e14067689822494328394b48e4b |         |          |
| depositBribe | amphrETH rstETH wstETH Re7LRT steakLRT                             | USDC(0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48)  | balancer                                                           | 2       |    6     |
|              | 0x4216d5900a6109bba48418b5e2ab6cc4e61cf4770000000000000000000006a1 |  581.545(581545000)                               | 0xb9c1265259e78e20592919155255ad412dee819be30d89707d6e987ebd42961f |         |          |
| depositBribe | rETH sfrxETH wstETH                                                | USDC(0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48)  | balancer                                                           | 2       |    7     |
|              | 0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b |  1288.4152(1288415200)                            | 0xbd289a16c8632127837dc9aaeaac774103472e81246bc6e73d982e5592d7ffd3 |         |          |
| depositBribe | WETH ezETH                                                         | USDC(0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48)  | balancer                                                           | 2       |    8     |
|              | 0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659 |  7617.4002(7617400200)                            | 0x9dbc094e3628d47695438a384279c49dbc7ea1ec5195c7a74ec2acf617b35e95 |         |          |
| depositBribe | pufETH wstETH                                                      | USDC(0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48)  | balancer                                                           | 2       |    9     |
