FILENAME: `MaxiOps/feeDistributions/2024-09-12/2024-09-12.json`
MULTISIG: `multisigs/fees (mainnet:0x7c68c42De679ffB0f16216154C996C354cF1161B)`
COMMIT: `74f0da1654d7cc30584fe398bd421458dbdbe3c2`
CHAIN(S): `mainnet`
TENDERLY: [`🟩 SUCCESS`](https://www.tdly.co/shared/simulation/2a6ec6f1-2cb6-4492-b21d-36e402e02f2d)

```
+----------+-------------------------------------------------+-------------------------------------------------------------------------+-------------------------------------------------+-----+----------+
| function | token_symbol                                    | recipient                                                               | amount                                          | bip | tx_index |
+----------+-------------------------------------------------+-------------------------------------------------------------------------+-------------------------------------------------+-----+----------+
| transfer | USDC:0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 | multisigs/dao:0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f                | 51553.3129 (RAW: 51553312900)                   | N/A |    1     |
| transfer | USDC:0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 | maxiKeepers/veBalFeeInjector:0x8AD2512819A7eae1dd398973EFfaE48dafBe8255 | 95741.867458 (RAW: 95741867458)                 | N/A |    69    |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | maxiKeepers/veBalFeeInjector:0x8AD2512819A7eae1dd398973EFfaE48dafBe8255 | 4383.943591301528 (RAW: 4383943591301527946958) | N/A |    70    |
+----------+-------------------------------------------------+-------------------------------------------------------------------------+-------------------------------------------------+-----+----------+
```
FILENAME: `MaxiOps/feeDistributions/2024-09-12/2024-09-12.json`
MULTISIG: `multisigs/fees (mainnet:0x7c68c42De679ffB0f16216154C996C354cF1161B)`
COMMIT: `74f0da1654d7cc30584fe398bd421458dbdbe3c2`
CHAIN(S): `mainnet`
TENDERLY: [`🟩 SUCCESS`](https://www.tdly.co/shared/simulation/dcc1b033-f232-43ac-811d-e4cae80d2240)

```
+--------------+--------------------------------------------------------------------+---------------------------------------------------+--------------------------------------------------------------------+---------+----------+
| function     | title_and_poolId                                                   | incentive_paid                                    | market_and_prophash                                                | periods | tx_index |
+--------------+--------------------------------------------------------------------+---------------------------------------------------+--------------------------------------------------------------------+---------+----------+
| depositBribe | rETH weETH                                                         | USDC(0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48)  | balancer                                                           | 2       |    2     |
|              | 0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645 |  687.9683(687968300)                              | 0xe5e764574f51f588997f73047f8d1d869102330f6cc45a29cab33e68c39dbc0b |         |          |
| depositBribe | WETH rETH                                                          | USDC(0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48)  | balancer                                                           | 2       |    3     |
|              | 0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112 |  12105.6826(12105682600)                          | 0x9da569f067c8ce7105bddd07c2dd92a257983c53e631290d7c202d27e7072cbf |         |          |
