pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,0.3431,1832.4657,10546.4890,5678.8787,16475.7575,11240.2702,5235.4873,250.3898,0,1739459429
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,0.3482,21.5471,124.0114,66.7754,0.0000,0.0000,0.0000,-190.7867,0,1739153412
0xa8cbbffe0d62797afaf7af0a23810bd5ba39a4dd000200000000000000000f04,polygon,ECLP-GYD-AUSDT,1.0117,6.7315,38.7420,20.8611,0.0000,0.0000,0.0000,-59.6030,0,1739057499
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,2946.8363,36445.8726,29251.4982,15750.8067,45382.2115,31944.3984,13437.8132,379.9065,0,1739347451
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,2937.0927,17361.5289,13934.3826,7503.1291,21618.4857,0.0000,21618.4857,180.9741,0,1739443091
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,2898.8979,13731.2559,11020.7214,5934.2346,17098.0886,12648.0969,4449.9917,143.1326,0,1739446307
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,36.8512,8223.0685,6599.8440,3553.7622,10239.3222,7968.8348,2270.4874,85.7161,0,1739458871
0x41fdbea2e52790c0a1dc374f07b628741f2e062d0002000000000000000006be,mainnet,ECLP-stdeUSD-deUSD,1.0118,8077.4687,6482.9854,3490.8383,10058.0221,7845.1463,2212.8758,84.1984,0,1739448659
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,1.0780,7576.6111,6080.9965,3274.3828,9434.3568,7419.6626,2014.6942,78.9775,0,1739439287
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,1.0147,6613.4214,5307.9394,2858.1212,8234.9980,6601.4230,1633.5750,68.9374,0,1739303195
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,0.5512,5712.7736,4585.0785,2468.8884,7113.5160,5836.3134,1277.2027,59.5491,0,1739263463
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,2911.4335,5077.5827,4075.2736,2194.3781,6322.5796,5296.7122,1025.8675,52.9280,0,1738890659
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,2892.7217,3858.5805,3096.9010,1667.5621,4804.6844,4261.1572,543.5272,40.2213,0,1739452427
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,2896.7049,2971.1454,2384.6447,1284.0394,3699.6549,3507.2719,192.3829,30.9708,0,1739433911
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,2905.9588,2512.7296,2016.7196,1085.9259,3128.8378,3128.8378,0.0000,26.1923,0,1739343731
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,32.7506,1962.3958,1575.0211,848.0883,2443.5651,2443.5651,0.0000,20.4557,0,1739362367
0xb91159aa527d4769cb9faf3e4adb760c7e8c8ea700000000000000000000067c,mainnet,ETHx/wstETH,2888.2296,1386.7950,1113.0432,599.3310,1726.8299,1726.8299,0.0000,14.4558,0,1739308667
0x1d13531bf6344c102280ce4c458781fbf14dad140000000000000000000006df,mainnet,tETH/wstETH,3377.9340,1243.7686,998.2501,537.5193,1548.7342,1548.7342,0.0000,12.9649,0,1739417063
