target,platform,amount
0x0d1b58fB1fC10F2160178DE1eAE2d520335ee372,balancer,938.7117
0x0d1b58fB1fC10F2160178DE1eAE2d520335ee372,aura,2771.3219
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,balancer,818.8959
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,aura,0.0000
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,balancer,79.5632
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,aura,1005.2276
0x1e916950A659Da9813EE34479BFf04C732E03deb,balancer,671.0676
0x1e916950A659Da9813EE34479BFf04C732E03deb,aura,0.0000
0x9965713498c74aee49cEf80B2195461F188F24f8,balancer,2721.1890
0x9965713498c74aee49cEf80B2195461F188F24f8,aura,5593.7670
0xd75026F8723b94d9a360A282080492d905c6A558,balancer,940.7791
0xd75026F8723b94d9a360A282080492d905c6A558,aura,1933.8970
0xf8C85bd74FeE26831336B51A90587145391a27Ba,balancer,6234.1622
0xf8C85bd74FeE26831336B51A90587145391a27Ba,aura,12815.1519
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,balancer,144.3989
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,aura,2179.2202
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,11245.2604
0x79eF6103A513951a3b25743DB509E267685726B7,aura,0.0000
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,balancer,154.9688
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,aura,2200.9480
0xA00DB7d9c465e95e4AA814A9340B9A161364470a,balancer,0.0000
0xA00DB7d9c465e95e4AA814A9340B9A161364470a,aura,1722.0168
0x0021e01B9fAb840567a8291b864fF783894EabC6,balancer,360.5876
0x0021e01B9fAb840567a8291b864fF783894EabC6,aura,2623.6249
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,balancer,831.5420
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,aura,3591.7345
0x0B9Ea598757c7D03FB1937cc16bdD2C9D416ff80,balancer,0.0000
0x0B9Ea598757c7D03FB1937cc16bdD2C9D416ff80,aura,1603.2414
0x253ED65fff980AEE7E94a0dC57BE304426048b35,balancer,0.0000
0x253ED65fff980AEE7E94a0dC57BE304426048b35,aura,1115.6893
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,balancer,3654.0039
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,aura,9393.6813
0x84f7F5cD2218f31B750E7009Bb6fD34e0b945DaC,balancer,175.1573
0x84f7F5cD2218f31B750E7009Bb6fD34e0b945DaC,aura,2242.4482
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,balancer,0.0000
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,aura,1333.2058
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,balancer,0.0000
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,aura,2046.0184
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,balancer,0.0000
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,aura,1334.6509
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,balancer,659.1274
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,aura,0.0000
0x15C84754c7445D0DF6c613f1490cA07654347c1B,balancer,0.0000
0x15C84754c7445D0DF6c613f1490cA07654347c1B,aura,1602.3148
0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f,payment,30358.1511
