target,platform,amount
0x0d1b58fB1fC10F2160178DE1eAE2d520335ee372,balancer,630.6614
0x0d1b58fB1fC10F2160178DE1eAE2d520335ee372,aura,2837.2810
0xCD41Bc6DC6e9821C4C36848Ff3397493e458A5d1,balancer,698.7338
0xCD41Bc6DC6e9821C4C36848Ff3397493e458A5d1,aura,0.0000
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,balancer,816.3514
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,aura,0.0000
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,balancer,0.0000
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,aura,1151.7234
0x1e916950A659Da9813EE34479BFf04C732E03deb,balancer,620.4437
0x1e916950A659Da9813EE34479BFf04C732E03deb,aura,0.0000
0x9965713498c74aee49cEf80B2195461F188F24f8,balancer,939.1155
0x9965713498c74aee49cEf80B2195461F188F24f8,aura,0.0000
0xd75026F8723b94d9a360A282080492d905c6A558,balancer,0.0000
0xd75026F8723b94d9a360A282080492d905c6A558,aura,1689.5227
0x5B5BAD6A124C5f45b4289908bA15Ff0047928648,balancer,735.2256
0x5B5BAD6A124C5f45b4289908bA15Ff0047928648,aura,0.0000
0xf8C85bd74FeE26831336B51A90587145391a27Ba,balancer,750.3435
0xf8C85bd74FeE26831336B51A90587145391a27Ba,aura,1533.5897
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,balancer,0.0000
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,aura,1064.1672
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,6212.3988
0x79eF6103A513951a3b25743DB509E267685726B7,aura,0.0000
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,balancer,106.0448
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,aura,1658.0151
0x0021e01B9fAb840567a8291b864fF783894EabC6,balancer,308.3245
0x0021e01B9fAb840567a8291b864fF783894EabC6,aura,2071.4444
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,balancer,2123.6787
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,aura,5781.7563
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,balancer,2339.3543
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,aura,6222.5649
0x84f7F5cD2218f31B750E7009Bb6fD34e0b945DaC,balancer,0.0000
0x84f7F5cD2218f31B750E7009Bb6fD34e0b945DaC,aura,1071.8604
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,balancer,839.3676
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,aura,0.0000
0x5d0AA3B7F4429e999C95D392E6c50c6555cD7816,balancer,93.7713
0x5d0AA3B7F4429e999C95D392E6c50c6555cD7816,aura,1632.9299
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,balancer,0.0000
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,aura,1531.1793
0x15C84754c7445D0DF6c613f1490cA07654347c1B,balancer,0.0000
0x15C84754c7445D0DF6c613f1490cA07654347c1B,aura,1443.8486
0xA00DB7d9c465e95e4AA814A9340B9A161364470a,balancer,0.0000
0xA00DB7d9c465e95e4AA814A9340B9A161364470a,aura,1636.2494
0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f,payment,26265.15696920786069146520809
