pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0x85b2b559bc2d21104c4defdd6efca8a20343361d,mainnet,Aave GHO/USDT/USDC,0.0000,34147.3423,4143.1106,5800.3549,23820.4642,16079.6053,7740.8588,619.0446,0,0
0xc4ce391d82d164c166df9c8336ddf84206b2f812,mainnet,Aave Lido wETH-wstETH,0.0000,10011.1346,1214.6549,1700.5169,6983.5559,4774.1482,2209.4076,181.4882,0,0
0x10a04efba5b880e169920fd4348527c64fb29d4d,mainnet,B-csUSDC-csUSDL,0.0000,6987.4837,847.7942,1186.9119,4874.3209,3357.8630,1516.4580,126.6735,0,0
0x64b84023cfe8397df83c67eaccc2c03ecda4aee5,mainnet,Aave PyUSD-Lido GHO,0.0000,5255.3193,637.6300,892.6820,3665.9997,2546.5130,1119.4866,95.2718,0,0
0x4ab7ab316d43345009b2140e0580b072eec7df16,mainnet,ETHx waWETH,0.0000,2443.7728,296.5039,415.1055,1704.7243,1229.5780,475.1463,44.3023,0,0
0x121edb0badc036f5fc610d015ee14093c142313b,mainnet,rstETH-Lido wstETH,0.0000,2125.5949,257.8993,361.0590,1482.7700,1080.5427,402.2274,38.5341,0,0
0x57c23c58b1d8c3292c15becf07c62c5c52457a42,mainnet,osETH-waWETH,0.0000,1087.6416,131.9640,184.7496,758.7158,0.0000,758.7158,19.7175,0,0
0x9ed5175aecb6653c1bdaa19793c16fd74fbeeb37,mainnet,Surge tETH-Lido wstETH,0.0000,731.9722,88.8105,124.3347,0.0000,0.0000,0.0000,-497.3387,0,0
0xeb95d6bd67f613e7918a031d9f4a9a92766659ac,mainnet,DVstETH-Prime wstETH,0.0000,632.7448,76.7712,107.4796,0.0000,0.0000,0.0000,-429.9186,0,0
0xf028ac624074d6793c36dc8a06ecec0f5a39a718,mainnet,Steak USDR-USDQ-USDT,0.0000,274.9009,33.3538,46.6954,0.0000,0.0000,0.0000,-186.7815,0,0
0x2b261c98a81cfda61bee7bfcf941a3d336be7957,mainnet,Surge slpETH-gtWETHe,0.0000,11.3788,1.3806,1.9328,0.0000,0.0000,0.0000,-7.7313,0,0
0x2f0508c56cfc35499f79f818dfc34113fe7f6d50,mainnet,Surge slpUSD-aUSDC,0.0000,4.8007,0.5825,0.8155,0.0000,0.0000,0.0000,-3.2619,0,0
0xd1d7fa8871d84d0e77020fc28b7cd5718c446522,gnosis,aGNO/sDAI,0.0000,14822.3325,1852.7916,2593.9082,10375.6328,6966.9127,3408.7200,0.0000,0,0
0x272d6be442e30d7c87390edeb9b96f1e84cecd8d,gnosis,50waWstETH-50waGNO,0.0000,3603.3825,450.4228,630.5919,2522.3677,1693.6910,828.6767,0.0000,0,0
0x6e6bb18449fcf15b79efa2cfa70acf7593088029,gnosis,waWstETH-waWETH,0.0000,2602.0331,325.2541,455.3558,1821.4232,1223.0287,598.3945,0.0000,0,0
0x7ab124ec4029316c2a42f713828ddf2a192b36db,base,Aave USDC-Aave GHO,0.0000,9153.8289,1144.2286,1601.9201,7263.7898,4877.4076,2386.3822,856.1096,0,0
0xb5bfb5adb736ea852bd58fec71db3b356c2a3938,base,Aave wstETH-ezETH,0.0000,511.1784,63.8973,89.4562,0.0000,0.0000,0.0000,-357.8249,0,0
0x4147d8aeecb75bc9f5c973c3b73d2dfc4dcce131,base,smUSDC-sUSDS,0.0000,429.0281,53.6285,75.0799,0.0000,0.0000,0.0000,-300.3197,0,0
0xacba78d745faae7751c09489d5f15a26eb27f1ad,base,Aave wstETH-wETH,0.0000,259.3378,32.4172,45.3841,0.0000,0.0000,0.0000,-181.5365,0,0
0x5b14ce8de84448e9a6f6af652af318472aa4fcaf,base,Aave GHO-USR,0.0000,23.4694,2.9337,4.1071,0.0000,0.0000,0.0000,-16.4286,0,0
0x9ab907fb3e098103ca048ad26e501bf7b3dfa3eb,base,Surge Aave EURC-GHO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0
0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,arbitrum,Aave GHO/USDT/USDC,0.0000,17666.3460,2208.2932,3091.6105,14061.9390,9894.9347,4167.0042,1695.4968,0,0
0x7abe8caa137cdb2490a9fa9f8be70cfbb0ff8652,arbitrum,yUSD-AaveUSDC,0.0000,847.1603,105.8950,148.2530,674.3169,0.0000,674.3169,81.3047,0,0
0x10f9e54aeea2fefa124238087dcfd919ba32f14d,arbitrum,Surge eBTC-Aave WBTC,0.0000,688.8677,86.1085,120.5519,0.0000,0.0000,0.0000,-482.2074,0,0
0xa0e5e7728e026bde02810d255a6b94a9aa47b5f9,arbitrum,Gyro eBTC-Aave USDCn,0.0000,596.6936,74.5867,104.4214,0.0000,0.0000,0.0000,-417.6855,0,0
0xc2b0d1a1b4cdda10185859b5a5c543024c2df869,arbitrum,Surge sUSDX USDX aUSDT,0.0000,433.6298,54.2037,75.8852,0.0000,0.0000,0.0000,-303.5409,0,0
0xc072880e1bc0bcddc99db882c7f3e7a839281cf4,arbitrum,Aave wstETH-wETH,0.0000,347.1221,43.3903,60.7464,0.0000,0.0000,0.0000,-242.9855,0,0
0x2ece6781bace5e37386adef7a3d45d0bb05f8fce,arbitrum,Surge orbETH-Aave wETH,0.0000,249.0924,31.1365,43.5912,0.0000,0.0000,0.0000,-174.3646,0,0
0x9c5f17d96ca66748b459788148b7357220f2d100,arbitrum,Aave wstETH/ezETH,0.0000,222.8823,27.8603,39.0044,0.0000,0.0000,0.0000,-156.0176,0,0
