pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit,is_partner
0x85b2b559bc2d21104c4defdd6efca8a20343361d,mainnet,Aave GHO/USDT/USDC,0.0000,6469.9110,808.7389,1132.2344,5136.9721,3421.2096,1715.7625,608.0344,0,0,False
0x57c23c58b1d8c3292c15becf07c62c5c52457a42,mainnet,osETH-waWETH,0.0000,2359.8173,294.9772,412.9680,1873.6449,1247.8425,625.8024,221.7728,0,0,False
0xc4ce391d82d164c166df9c8336ddf84206b2f812,mainnet,Aave Lido wETH-wstETH,0.0000,1533.1275,191.6409,268.2973,1217.2707,810.6990,406.5717,144.0815,0,0,False
0x121edb0badc036f5fc610d015ee14093c142313b,mainnet,rstETH-Lido wstETH,0.0000,372.1010,46.5126,65.1177,0.0000,0.0000,0.0000,-260.4707,0,0,False
0x4ab7ab316d43345009b2140e0580b072eec7df16,mainnet,ETHx waWETH,0.0000,262.4553,32.8069,45.9297,0.0000,0.0000,0.0000,-183.7187,0,0,False
0x6c5972311191097d002e804a9bf97c96c54059ed,mainnet,Surge USDf-aGHO,0.0000,256.9328,32.1166,44.9632,0.0000,0.0000,0.0000,-179.8529,0,0,False
0x9ed5175aecb6653c1bdaa19793c16fd74fbeeb37,mainnet,Surge tETH-Lido wstETH,0.0000,215.2304,26.9038,37.6653,0.0000,0.0000,0.0000,-150.6613,0,0,False
0xe2332649955c7c98389480ab46dd4cb6755ac703,mainnet,75SDEX25AaveLidoETH,0.0000,118.1830,14.7729,20.6820,0.0000,0.0000,0.0000,-82.7281,0,0,False
0x071828acc755314e687448703775f22194f56867,mainnet,Surge siUSD-sUSDe,0.0000,48.2676,6.0335,8.4468,0.0000,0.0000,0.0000,-33.7873,0,0,False
0xf028ac624074d6793c36dc8a06ecec0f5a39a718,mainnet,Steak USDR-USDQ-USDT,0.0000,43.5845,5.4481,7.6273,0.0000,0.0000,0.0000,-30.5091,0,0,False
0x2f0508c56cfc35499f79f818dfc34113fe7f6d50,mainnet,Surge slpUSD-aUSDC,0.0000,32.4471,4.0559,5.6782,0.0000,0.0000,0.0000,-22.7130,0,0,False
0x2b261c98a81cfda61bee7bfcf941a3d336be7957,mainnet,Surge slpETH-gtWETHe,0.0000,28.4539,3.5567,4.9794,0.0000,0.0000,0.0000,-19.9177,0,0,False
0x733f2d3f66d3f41bde65d95321a19a1e55bb5470,mainnet,iUSD-Aave GHO,0.0000,13.6138,1.7017,2.3824,0.0000,0.0000,0.0000,-9.5297,0,0,False
0x6b31a94029fd7840d780191b6d63fa0d269bd883,mainnet,Surge Fluid wstETH-wETH,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,False
0xd1d7fa8871d84d0e77020fc28b7cd5718c446522,gnosis,aGNO/sDAI,0.0000,797.2869,99.6609,139.5252,1215.2746,809.3696,405.9050,657.1737,0,0,False
0x6e6bb18449fcf15b79efa2cfa70acf7593088029,gnosis,waWstETH-waWETH,0.0000,546.5860,68.3233,95.6526,0.0000,0.0000,0.0000,-382.6102,0,0,False
0x272d6be442e30d7c87390edeb9b96f1e84cecd8d,gnosis,50waWstETH-50waGNO,0.0000,392.2336,49.0292,68.6409,0.0000,0.0000,0.0000,-274.5635,0,0,False
0x7ab124ec4029316c2a42f713828ddf2a192b36db,base,Aave USDC-Aave GHO,0.0000,5012.2957,626.5370,877.1517,3825.3655,2956.3315,869.0340,316.7585,0,0,False
0x5b14ce8de84448e9a6f6af652af318472aa4fcaf,base,Aave GHO-USR,0.0000,803.9722,100.4965,140.6951,613.5886,0.0000,613.5886,50.8081,0,0,False
0xb7b8b3afc010169779c5c2385ec0eb0477fe3347,base,Balancer rETH-Aave wETH,0.0000,229.0584,28.6323,40.0852,0.0000,0.0000,0.0000,-160.3409,0,0,False
0xb5bfb5adb736ea852bd58fec71db3b356c2a3938,base,Aave wstETH-ezETH,0.0000,176.4312,22.0539,30.8755,0.0000,0.0000,0.0000,-123.5018,0,0,False
0x9ab907fb3e098103ca048ad26e501bf7b3dfa3eb,base,Surge Aave EURC-GHO,0.0000,91.7676,11.4710,16.0593,0.0000,0.0000,0.0000,-64.2373,0,0,False
0x9972c4f21b5ae6062233031314adbbdda7513ed2,base,Surge Aave wstETH-fWETH,0.0000,27.8379,3.4797,4.8716,0.0000,0.0000,0.0000,-19.4865,0,0,False
0x31ae873544658654ce767bde179fd1bbcb84850b,avalanche,Aave USDT/USDC/AUSD,0.0000,767.6297,95.9537,134.3352,2046.7027,1363.0985,683.6042,1509.3619,0,0,False
0xa4e1b0ddffc0e3aa63dbca462cf370e4f1dc9b8b,avalanche,Gyro AAVE WAVAX-USDC,0.0000,685.4683,85.6835,119.9570,0.0000,0.0000,0.0000,-479.8278,0,0,False
0x22715161201922af61f4ca22e979ef0c6c20be13,avalanche,Surge eK3 savUSD-USDT,0.0000,574.6798,71.8350,100.5690,0.0000,0.0000,0.0000,-402.2759,0,0,False
0x99a9a471dbe0dcc6855b4cd4bbabeccb1280f5e8,avalanche,aWAVAX-aSAVAX-ggAVAX,0.0000,459.3773,57.4222,80.3910,0.0000,0.0000,0.0000,-321.5641,0,0,False
0x58374fff35d1f3023bbfc646fb9ecd2b180ca0b0,avalanche,Aave wAVAX/BTC.b,0.0000,157.9994,19.7499,27.6499,0.0000,0.0000,0.0000,-110.5996,0,0,False
0xc07f45ee39f3fa2abaeb2b3309543e69129e3c21,avalanche,Euler Re7 savUSD-AUSD-USDC,0.0000,150.7477,18.8435,26.3809,0.0000,0.0000,0.0000,-105.5234,0,0,False
0x695a7f28c3628187c8264d2cdf7a617036ba8406,avalanche,upAUSD-savUSD-sdeUSD,0.0000,127.9586,15.9948,22.3927,0.0000,0.0000,0.0000,-89.5710,0,0,False
0xc2b0d1a1b4cdda10185859b5a5c543024c2df869,arbitrum,Surge sUSDX USDX aUSDT,0.0000,745.9371,93.2421,130.5390,1249.6576,832.2686,417.3890,727.5016,0,0,False
0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,arbitrum,Aave GHO/USDT/USDC,0.0000,665.9745,83.2468,116.5455,0.0000,0.0000,0.0000,-466.1822,0,0,False
0x10f9e54aeea2fefa124238087dcfd919ba32f14d,arbitrum,Surge eBTC-Aave WBTC,0.0000,116.5098,14.5637,20.3892,0.0000,0.0000,0.0000,-81.5569,0,0,False
0x5418a64e0cdb20548acb394f5d00a089baf02161,arbitrum,Balancer rETH-Aave wETH,0.0000,78.7140,9.8393,13.7750,0.0000,0.0000,0.0000,-55.0998,0,0,False
0xc072880e1bc0bcddc99db882c7f3e7a839281cf4,arbitrum,Aave wstETH-wETH,0.0000,65.6333,8.2042,11.4858,0.0000,0.0000,0.0000,-45.9433,0,0,False
0x9c5f17d96ca66748b459788148b7357220f2d100,arbitrum,Aave wstETH/ezETH,0.0000,56.6155,7.0769,9.9077,0.0000,0.0000,0.0000,-39.6309,0,0,False
0x1a36195044abbad8807ceea78ec645c0c5d09593,arbitrum,osETH-WETH,0.0000,51.3299,6.4162,8.9827,0.0000,0.0000,0.0000,-35.9309,0,0,False
0x2ece6781bace5e37386adef7a3d45d0bb05f8fce,arbitrum,Surge orbETH-Aave wETH,0.0000,4.5110,0.5639,0.7894,0.0000,0.0000,0.0000,-3.1577,0,0,False
