pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,fees_to_beets,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit,is_partner
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,0.2495,1152.5090,144.0636,201.6891,0.0000,806.7563,0.0000,806.7563,0.0000,0,1756398879,False
0x5f8893506ddc4c271837187d14a9c87964a074dc000000000000000000000106,optimism,bpt-ethtri,4635.6737,1775.5978,110.9749,155.3648,266.3397,1870.1642,1222.9192,647.2450,627.2458,0,1756393743,False
0x4fd63966879300cafafbb35d157dc5229278ed2300020000000000000000002b,optimism,BPT-rETH-ETH,4627.8970,543.3540,33.9596,47.5435,81.5031,0.0000,0.0000,0.0000,-380.3478,0,1756398859,False
0x7ca75bdea9dede97f8b13c6641b768650cb837820002000000000000000000d5,optimism,ECLP-wstETH-WETH,4647.2501,173.6720,10.8545,15.1963,26.0508,0.0000,0.0000,0.0000,-121.5704,0,1756377629,False
0x2bb4712247d5f451063b5e4f6948abdfb925d93d000000000000000000000136,optimism,bpt-weethwsteth,4610.6874,129.2546,8.0784,11.3098,19.3882,0.0000,0.0000,0.0000,-90.4782,0,1755781025,False
0x73a7fe27fe9545d53924e529acf11f3073841b9e000000000000000000000133,optimism,wrsETH/wETH,4585.3694,49.7848,3.1115,4.3562,7.4677,0.0000,0.0000,0.0000,-34.8493,0,1756387757,False
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,Lido,4700.8836,20209.6366,2526.2046,3536.6864,0.0000,11084.3887,11084.3887,0.0000,474.3295,0,1756306295,True
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,Rocket Pool,4679.8544,16746.8621,2093.3578,2930.7009,0.0000,9185.1592,0.0000,9185.1592,393.0566,0,1756327391,True
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,0.4342,8696.6269,1087.0784,1521.9097,0.0000,6291.7527,6291.7527,0.0000,204.1138,0,1756115267,False
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,4657.3855,6667.7834,833.4729,1166.8621,0.0000,4823.9443,4721.9606,101.9837,156.4959,0,1756024343,False
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,33.3010,4698.5543,587.3193,822.2470,0.0000,3399.2652,3096.1534,303.1118,110.2772,0,1756319435,False
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,4644.8804,4675.9112,584.4889,818.2845,0.0000,3382.8836,2953.0157,429.8679,109.7458,0,1756375259,False
