target,platform,amount,bribe_platform
0x1e916950A659Da9813EE34479BFf04C732E03deb,balancer,255.9603,hiddenhand
0x1e916950A659Da9813EE34479BFf04C732E03deb,aura,0.0000,hiddenhand
0xd75026F8723b94d9a360A282080492d905c6A558,balancer,576.3470,hiddenhand
0xd75026F8723b94d9a360A282080492d905c6A558,aura,1085.7279,hiddenhand
0x5B5BAD6A124C5f45b4289908bA15Ff0047928648,balancer,487.8029,hiddenhand
0x5B5BAD6A124C5f45b4289908bA15Ff0047928648,aura,918.9276,hiddenhand
0x0d1b58fB1fC10F2160178DE1eAE2d520335ee372,balancer,787.5681,hiddenhand
0x0d1b58fB1fC10F2160178DE1eAE2d520335ee372,aura,0.0000,hiddenhand
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,balancer,803.6263,hiddenhand
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,aura,0.0000,hiddenhand
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,balancer,3020.2765,hiddenhand
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,aura,8687.1318,hiddenhand
0x9965713498c74aee49cEf80B2195461F188F24f8,balancer,790.5374,hiddenhand
0x9965713498c74aee49cEf80B2195461F188F24f8,aura,0.0000,hiddenhand
0x6A2C2d4502335638d2c2f40f0171253fb2c2db88,balancer,1078.7524,hiddenhand
0x6A2C2d4502335638d2c2f40f0171253fb2c2db88,aura,0.0000,hiddenhand
0xf8C85bd74FeE26831336B51A90587145391a27Ba,balancer,1064.1599,hiddenhand
0xf8C85bd74FeE26831336B51A90587145391a27Ba,aura,0.0000,hiddenhand
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,balancer,605.6575,hiddenhand
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,aura,1571.5355,hiddenhand
0xf697535848B535900c76f70F1e36EC3985D27862,balancer,1087.9715,hiddenhand
0xf697535848B535900c76f70F1e36EC3985D27862,aura,4812.8968,hiddenhand
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,3509.2846,hiddenhand
0x79eF6103A513951a3b25743DB509E267685726B7,aura,0.0000,hiddenhand
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,balancer,617.0056,hiddenhand
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,aura,1667.5608,hiddenhand
0x0021e01B9fAb840567a8291b864fF783894EabC6,balancer,1156.4908,hiddenhand
0x0021e01B9fAb840567a8291b864fF783894EabC6,aura,3899.9540,hiddenhand
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,balancer,505.1092,hiddenhand
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,aura,1266.6313,hiddenhand
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,balancer,0.0000,hiddenhand
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,aura,8048.1765,hiddenhand
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,balancer,841.6194,hiddenhand
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,aura,2441.6321,hiddenhand
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,balancer,329.7037,hiddenhand
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,aura,806.6246,hiddenhand
0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f,payment,44240.19455119712799382872256,
0xea06e1b4259730724885a39CE3ca670eFB020E26,beets,467.7097794206332951219616375,
