target,amount,is_alliance,voting_pool_override,platform
0x9b237fA1958E3022464343137738926d38815801,848.3319,False,,
0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,4281.9336,False,,
0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,1418.7430,False,,
0x62A66eB9aBf7a788F48D0ce7C0C065df9e09dA19,976.3892,False,,
0x1CCE9d493224A19FcB5f7fBade8478630141CB54,718.2489,True,,
0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,3583.8501,False,,
0xd5A0Eb558d62780B10Ecc202D0049B89F6145073,796.3099,False,,
0xDbD4dD2d5E0b927022C2be8D493F20e79e60C2e7,557.1350,False,,
0x4eB7C7fD67B9b2C24d9fF1601ccDa5A01bD40c7f,691.7322,False,,
0x16b0056636Fcc85f92C49cD49a24bc519d4A1941,4596.456985103797007371329871,,,payment
0xea06e1b4259730724885a39CE3ca670eFB020E26,94.87436515625000363911567545,,,beets
