Chain,Label,Gauge Address,Allocation %,Unnamed: 4,snapshot_label,snapshot_index,share
Mainnet,sDAI/4Pool,0xf6a7ad46b00300344c7d4739c0518db70e722dc4,12.50%,Core Liquidity,ComposableStable USDC-DAI-USDT/sDAI,82,12.5
Arbitrum,sFRAX/4Pool,0x62a82fe26e21a8807599374cac8024fae342ef83,10.00%,,a-ComposableStable sFRAX/4POOL-BPT,158,10.0
Arbitrum,4Pool,0xbb1a15dfd849bc5a6f33c002999c8953afa626ad,5.00%,,a-ComposableStable USDT/DAI/USDC/USDC.e,170,5.0
Arbitrum,aUSDC/USDC,0x75ba7f8733c154302cbe2e19fe3ec417e0679833,2.30%,,a-Gyro AaveUSDCn/USDC,174,2.3
Arbitrum,aUSDT/USDT,0xf937bf168b33d8d10d555e9a039ec1b8e4c543d1,2.30%,,a-Gyro AaveUSDT/USDT,175,2.3
Arbitrum,aUSDC/aUSDT,0xbb034e493ebf45f874e038ae76576df9cc1137e5,5.40%,37.50%,a-Gyroe AaveUSDCn/AaveUSDT,176,5.4
Mainnet,STG/USDC,0x15c84754c7445d0df6c613f1490ca07654347c1b,2.53%,Revenue ,50/50 STG/USDC,23,2.53
Mainnet,wstETH-wETH-BPT,0x5c0f23a5c1be65fa710d385814a7fd1bda480b1c,2.89%,,ComposableStable wstETH/WETH,101,2.89
Mainnet,B-rETH-Stable,0x79ef6103a513951a3b25743db509e267685726b7 ,7.92%,,MetaStable WETH/rETH,120,7.92
Avalanche,sAVAX/wAVAX,0x1e916950a659da9813ee34479bff04c732e03deb ,3.36%,,av-ComposableStable sAVAX/WAVAX,263,3.36
Mainnet,ezETH-wETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,9.11%,,ComposableStable WETH/ezETH,92,9.11
Mainnet,weETH/ezETH/swETH,0x253ed65fff980aee7e94a0dc57be304426048b35 ,11.69%,37.50%,ComposableStable weETH/ezETH/rswETH,89,11.69
Mainnet,sUSDe/USDC,0x84f7f5cd2218f31b750e7009bb6fd34e0b945dac,7.50%,Biz Dev,ComposableStable sUSDe/USDC,79,7.5
Arbitrum,woETH/wETH,0x38f1e186cc7609d236aa2161e2ca622b5bc4ef8b ,5.00%,,a-Gyroe WETH/WOETH,179,5.0
Arbitrum,rsETH / wETH,0x061130d4715fcd4828bfcaf6b1a9b93df5e6e4c9,5.00%,,a-ComposableStable rsETH/WETH,157,5.0
Arbitrum,weETH / wstETH,0xe6a0fd593e6beca161d0d933b4fb4fecaf49d46a,7.50%,,a-Gyroe weETH/wstETH,178,7.5
