Chain,Label,Gauge Address,Allocation %,
Mainnet,sDAI/4Pool,0xf6a7ad46b00300344c7d4739c0518db70e722dc4,10.00%,Core Liquidity
Mainnet,GHO/USDC/USDT,0xf720e9137baa9c7612e6ca59149a5057ab320cfa ,10.00%,
Arbitrum,sFRAX/4Pool,0x62a82fe26e21a8807599374cac8024fae342ef83,7.50%,
Arbitrum,4Pool,0xbb1a15dfd849bc5a6f33c002999c8953afa626ad,5.00%,
Arbitrum,aUSDC/USDC,0x75ba7f8733c154302cbe2e19fe3ec417e0679833,2.30%,
Arbitrum,aUSDT/USDT,0xf937bf168b33d8d10d555e9a039ec1b8e4c543d1,2.30%,
Arbitrum,aUSDC/aUSDT,0xbb034e493ebf45f874e038ae76576df9cc1137e5,5.40%,42.50%
Mainnet,wstETH-ACX,0xf7b0751fea697cf1a541a5f57d11058a8fb794ee,4.94%,Revenue 
Mainnet,wstETH-wETH-BPT,0x5c0f23a5c1be65fa710d385814a7fd1bda480b1c,5.03%,32.50%
Mainnet,B-rETH-Stable,0x79ef6103a513951a3b25743db509e267685726b7 ,4.95%,
Avalanche,sUSDE/USDC,0x84f7f5cd2218f31b750e7009bb6fd34e0b945dac,4.09%,
Mainnet,ezETH-wETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,11.22%,
Mainnet,weETH/ezETH/swETH,0x253ed65fff980aee7e94a0dc57be304426048b35 ,2.27%,32.50%
Mainnet,sUSDe/USDC,0x84f7f5cd2218f31b750e7009bb6fd34e0b945dac,2.50%,Biz Dev
Arbitrum,woETH/wETH,0x38f1e186cc7609d236aa2161e2ca622b5bc4ef8b ,4.00%,
Optimism,wrsETH / wETH,0x65a5c255cfddb99caccacee6f0fa63f3ab886e79,5.00%,
Arbitrum,weETH / wstETH,0xe6a0fd593e6beca161d0d933b4fb4fecaf49d46a,4.00%,
Mainnet,trenSTETH,0x03ac2920378a51d6ca78813b1d7578dab08d3760,6.00%,
Arbitrum,gUSDC/USDC,0x5a482e8478d63219bc33c7f1d7cdb599039abad7 ,3.50%,25%
,,,,TOTAL
,,,,100.00%
