Chain,Label,Gauge Address,Allocation %,,,,
,,,,Core Liquidity,,,
Mainnet,V3 GHO/USDC/USDT,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,10.00%,,,,
Mainnet,Lido wstETH wETH,0x4b891340b51889f438a03dc0e8aaafb0bc89e7a6,10.00%,,Was last but want to keep for 1 more,,
Mainnet ,csUSDL-csUSDC,0x5bbaed1fadc08c5fb3e4ae3c8848777e2da77103,7.00%,,RIP if Paxos doesnt come through ,,
Base,Aave GHO-USDC,0x1da19f38eb6f2c22199dc0848118b26095c29aed,7.00%,,Help out MG,,
Mainnet,Aave GHO-pyUSD,0x6c0a4550c575c917435f228d36939125a437a98b,5.00%,,Pools meh but help MG,,
Mainnet,USDT-USDR-USDQ,0x8f1e24671e90bb3e43adaedf79a5c6e42ed74f72,7.00%,,Last round unless it grows + marketing rn,,wdyt about 7.5% or more?
Arbitrum,sUSDX-USDX-aUSDT,0xeb312b0d7795743C3DE905bc09c0D62aA180A7a6,5.00%,,Last round unless it grows,,no ^
Arbitrum,tETH-aweETH,0xb4db5e1098b5a40ce4b36c9ebfef23a54e50db65,5.00%,,Last round unless it grows,,
Mainnet,Surge tETH-wstETH,0xd5a0eb558d62780b10ecc202d0049b89f6145073,5.00%,,Last round unless it grows,,
Mainnet,dvstETH-awstETH,0xd0f4829f6ccb2df530445519d8d84d1e715f6391,3.00%,,Last round,,
,,,,64%,,,
Mainnet,wstETH-wETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,4.50%,,Want to keep these since alliance sounds delayed due to us,,
Mainnet,rETH-wETH,0x79ef6103a513951a3b25743db509e267685726b7 ,5.50%,10.00%,,,
,,,,Biz Dev,,,
Base,Aave wETH-wstETH,0x0855e486EE80FF0EC7c913eC0588A7CBf2B8E89c,6.00%,,,,"USDC starts tomorrow, can do"
Base,Aave ezETH-wstETH,0x86C44de72Ec88d205E63c2aF8D577659319C7a7f,5.00%,,,,"USDC starts tomorrow, can do"
Base,sUSDs / seamlessUSDC,0x53D051F583D418DE6512db1Bde281957F043937b,5.00%,,"Worth keeping rn, its working",,"USDC starts tomorrow, can do"
Arbitrum,Aave wETH-wstETH,0xB2FcAd9fd42Affd0A90a996A1DEde4427435e5F8,6.00%,,,,"USDC 1 week ago, can do"
Arbitrum,Aave ezETH-wstETH,0xCA318253Bb460e08ca33fD22574E7F70217130f5,4.00%,,,,"USDC 1 week ago, can do"
,,,,,,,"Idk these guys are vague, we can carry them on with small USDC bag or cut. WDYT maybe just this an no usdc for 1 round?"
,,,,26%,,,
,,,,TOTAL,,,
,,,,100.00%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,1200,,,,,
,,100000,,,,,
,,"$16,666.67",,,,,
,,14,,,,,
,,,,,,,
Total USDC,"$100,000",,,,,,
APY needed,6%,,,,,,
Incentives per 1m,60000,,,,,,
Incentives per wk,"$1,154",,,,,,
Incentives per 6 wks,"$4,615",,,,,,
Total TVL to support,22,,,,,,
