Chain,Label,Gauge Address,Allocation %,,
,,,,Core Liquidity,
Mainnet,V3 GHO/USDC/USDT,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,7.00%,,
Mainnet,Lido fWETH-fwstETH,0x1cce9d493224a19fcb5f7fbade8478630141cb54,5.00%,,Remove next round as Alliance is in full swing
Arbitrum,Aave GHO-USDC,0x1da19f38eb6f2c22199dc0848118b26095c29aed,10.00%,,
Arbitrum,sUSDX-USDX-aUSDT,0xeb312b0d7795743C3DE905bc09c0D62aA180A7a6,5.00%,,
Base ,Aave GHO-USR,0xB1E8ec305b0b29097a117CaFC9721A553533E54C,5.00%,,"Last rounds, up axlOP"
Base,Aave GHO-EURC,0x1B7E33186C7e9C337508bB65EA9dc498aB14fcAE,5.00%,,"Last rounds, up axlOP"
Avalanche,Aave USDC-USDT-AUSD,0xb2A8f0f477Aae4D78Ea78d85234233285c91bB08,10.00%,,
,,,,47%,
,,,,,
Mainnet,rETH-wETH,0x79ef6103a513951a3b25743db509e267685726b7 ,7.00%,7.00%,Last round due to alliance delay
,,,,Biz Dev,
Arbitrum,Aave wETH-wstETH,0xB2FcAd9fd42Affd0A90a996A1DEde4427435e5F8,15.00%,,
Arbitrum,Aave ezETH-wstETH,0xCA318253Bb460e08ca33fD22574E7F70217130f5,10.00%,,
Avalanche,ggAVAX-aSAVAX-aWAVAX,0x5c13C3b72b031b6405046C319B2D840d3C1403c7,9.00%,,
Avalanche,K3 Boosted Pool,0xA7165E1E3dEfe55DAdA5C4289268d57faBA6dAd2,7.00%,,
Avalanche,Re7 Euler Pool,0xd43fc9340adbff1C0c28db7A5fB554F736d256fa,5.00%,,
,,,,46%,
,,,,TOTAL,
,,,,100.00%,
