Chain,Label,Gauge Address,Allocation %,Unnamed: 4,Unnamed: 5,snapshot_label,snapshot_index,share
Mainnet,V3 GHO/USDC/USDT,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,7.00%,,,Stable Aave Prime GHO/waEthUSDC/waEthUSDT,91,7.0
Base,Aave GHO-EURC,0x1B7E33186C7e9C337508bB65EA9dc498aB14fcAE,5.00%,,,b-Stable USR/waBasGHO,255,5.0
Base,Aave GHO-USDC,0x1da19f38eb6f2c22199dc0848118b26095c29aed,10.00%,,,b-Stable waBasGHO/waBasUSDC,258,10.0
Base ,Aave GHO-USR,0xB1E8ec305b0b29097a117CaFC9721A553533E54C,5.00%,,,b-Stable waBasEURC/waBasGHO,256,5.0
Base,fWETH-aWSTETH,0x9604a525630e7d9d72d804bdcb678862bab1971c,9.00%,,,b-Stable fWETH/waBaswstETH,252,9.0
Base,aezETH-awstETH,0x86c44de72ec88d205e63c2af8d577659319c7a7f,5.00%,,,b-Stable waBasezETH/waBaswstETH,257,5.0
Base,rETH-aWETH,0x31ccb4e5005fd37005523e6e3f1d084f9abe25b6,9.00%,,,b-Stable rETH/waBasWETH,253,9.0
Mainnet,Aave Gho-USDf,0x52d28dff7759ca78978954ebabf87481bd5cf8f0,10.00%,,one more round for MG,Stable Aave Prime GHO/USDf,90,10.0
Arbitrum,Aave wETH-wstETH,0xB2FcAd9fd42Affd0A90a996A1DEde4427435e5F8,7.00%,,,a-Stable waArbWETH/waArbwstETH,174,7.0
Arbitrum,Aave ezETH-wstETH,0xCA318253Bb460e08ca33fD22574E7F70217130f5,3.00%,,,a-Stable waArbezETH/waArbwstETH,170,3.0
Avalanche,ggAVAX-aSAVAX-aWAVAX,0x5c13C3b72b031b6405046C319B2D840d3C1403c7,9.50%,,,av-Stable ggAVAX/waAvaSAVAX/waAvaWAVAX,269,9.5
Avalanche,Aave USDC-USDT-AUSD,0xb2A8f0f477Aae4D78Ea78d85234233285c91bB08,15.50%,,,av-Stable waAvaAUSD/waAvaUSDC/waAvaUSDT,271,15.5
Base,BTF:BMACRO,0xaa23fc5fafba846f07181761903fb9350e954c34,5.00%,,round 2; vebal should take over after,b-QuantAmmWeighted cbBTC/WETH/USDC/AERO,251,5.0
