Chain,Label,Gauge Address,Allocation %,Unnamed: 4,Unnamed: 5,Unnamed: 6,"2,000,000",0.0034,<- Emission $/Vote,Unnamed: 10,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,snapshot_label,snapshot_index,share
Mainnet,V3 GHO/USDC/USDT,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,7.00%,,,,"140,000",476,0xf7584003dcd19d66e6354e5d6da2e1d087ef28ecb175d098c47ecaf038c4b46f,476000000.0,,Stable Aave Prime GHO/waEthUSDC/waEthUSDT,91,7.0
Base,Aave GHO-EURC,0x1B7E33186C7e9C337508bB65EA9dc498aB14fcAE,5.00%,,,,"100,000",340,0xa2aa015b386973b8b485cd4690791c81d069a663877ba2a2f075f5f34aacecd1,340000000.0,,b-Stable USR/waBasGHO,256,5.0
Base,Aave GHO-USDC,0x1da19f38eb6f2c22199dc0848118b26095c29aed,10.00%,,,,"200,000",680,0x0e89bda9685d6b9226b1a02946ab5612d520bc315f305fc7d248980d7d8dccfb,680000000.0,,b-Stable waBasGHO/waBasUSDC,259,10.0
Base ,Aave GHO-USR,0xB1E8ec305b0b29097a117CaFC9721A553533E54C,5.00%,,,,"100,000",340,0xffc0b901596dbba1ea14fcf8c8726c5473be7946a30b201b609a4b018ff968aa,340000000.0,,b-Stable waBasEURC/waBasGHO,257,5.0
Base,fWETH-aWSTETH,0x9604a525630e7d9d72d804bdcb678862bab1971c,9.00%,,,,"180,000",612,0xdf0fb661a35c8d861ea573a897edefe3ae10aec3eeec5e45ad196579e9828cd0,612000000.0,,b-Stable fWETH/waBaswstETH,253,9.0
Base,aezETH-awstETH,0x86c44de72ec88d205e63c2af8d577659319c7a7f,5.00%,,,,"100,000",340,0x2e88e42fd38dbff52a0b17dd3f3b926a95c99999d4aa84f4c72d08c9048c9385,340000000.0,,b-Stable waBasezETH/waBaswstETH,258,5.0
Base,rETH-aWETH,0x31ccb4e5005fd37005523e6e3f1d084f9abe25b6,9.00%,,,,"180,000",612,0x6312feb4239f00be4826753596672e9db019bebb8928fded20322ad38f324d8f,612000000.0,,b-Stable rETH/waBasWETH,254,9.0
Avalanche,Aave Gho-USDT-USDC,0xd3ea1345352047bd039bac9d4177c883e06d449d,10.00%,,*new,,"200,000",680,0x49e3ab087c8b94ca651f94dff5184db7878c674102de50146cb15b08c7d46ae4,680000000.0,,av-Stable waAvaGHO/waAvaUSDC/waAvaUSDT,273,10.0
Arbitrum,Aave wETH-wstETH,0xB2FcAd9fd42Affd0A90a996A1DEde4427435e5F8,7.00%,,,,"140,000",476,0x994cfd7ebe74e118dac58cc64170a4dedab38dd2b1b9b1c7268ec08b225ace6d,476000000.0,,a-Stable waArbWETH/waArbwstETH,175,7.0
Arbitrum,Aave ezETH-wstETH,0xCA318253Bb460e08ca33fD22574E7F70217130f5,3.00%,,,,"60,000",204,0x437f417f30bae29d2eb91b37c453f6ef362b7e47cf675d4acd9b5c27fd913a66,204000000.0,,a-Stable waArbezETH/waArbwstETH,171,3.0
Arbitrum,Aave Gho-USDT-USDC,0x9b237fa1958e3022464343137738926d38815801,12.00%,,*new,,"240,000",816,0x94494d7538b582312a35cb36f0d74d1fb28d68accf2d5fdf04f1b3a3838f54cd,816000000.0,,a-Stable waArbGHO/waArbUSDCn/waArbUSDT,172,12.0
Mainnet,Aave Gho-USDf,0x52d28dff7759ca78978954ebabf87481bd5cf8f0,6.00%,,,,"120,000",408,0x596c65223d151ac5e6dff79910a27283061b128b7fb5ded08a99dc3f53ce4e5c,408000000.0,,Stable Aave Prime GHO/USDf,90,6.0
Base,BTF:BMACRO,0xaa23fc5fafba846f07181761903fb9350e954c34,5.00%,,one more cycle,,"100,000",340,0xf9b4ff5f900ebf34b3fcb2fec4e0111d2f38ee371184db632bb032317e90d6a9,340000000.0,,b-QuantAmmWeighted cbBTC/WETH/USDC/AERO,252,5.0
Mainnet,sUSDe-siUSD,0xb1efe3b01d5cf28bd923de3e5a567621588f435a,7.00%,,*new,,,,,,,Stable siUSD/sUSDe,110,7.0
