Chain,Label,Gauge Address,Allocation %,
Mainnet,sDAI/4Pool,0xf6a7ad46b00300344c7d4739c0518db70e722dc4,10.00%,Core Liquidity
Mainnet,GHO/USDC/USDT,0xf720e9137baa9c7612e6ca59149a5057ab320cfa ,12.00%,
Arbitrum,sFRAX/4Pool,0x62a82fe26e21a8807599374cac8024fae342ef83,4.00%,
Arbitrum,aUSDC/USDC,0x75ba7f8733c154302cbe2e19fe3ec417e0679833,3.00%,
Optimsim,ECLP-waUSDC-waUSDT,0x1a8F7747cA103d229d7bDFF5f89c176b95Faf301,4.00%,
Arbitrum,aUSDC/aUSDT,0xbb034e493ebf45f874e038ae76576df9cc1137e5,4.00%,37.00%
Mainnet,50wstETH/ACX,0xf7b0751fea697cf1a541a5f57d11058a8fb794ee,6.00%,Revenue 
Mainnet,wstETH-wETH-BPT,0x5c0f23a5c1be65fa710d385814a7fd1bda480b1c,9.17%,52.00%
Mainnet,B-rETH-Stable,0x79ef6103a513951a3b25743db509e267685726b7 ,5.05%,
Mainnet,weETH/rETH,0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,1.94%,
Mainnet,ezETH-wETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,5.41%,
Mainnet,sdeUSD/deUSD,0xA00DB7d9c465e95e4AA814A9340B9A161364470a ,3.56%,
Base,wETH/USDC ECLP,0xE01347229d681C69f459176A042268Cf981DFaa4,10.93%,
Mainnet,sUSDe-USDC,0x84f7f5cd2218f31b750e7009bb6fd34e0b945dac,1.88%,
Mainnet,STG/USDC,0x15C84754c7445D0DF6c613f1490cA07654347c1B,8.06%,
,,,,52.00%
,,,,Biz Dev
Arbitrum,SUSDX / USDX,0x0d1b58fB1fC10F2160178DE1eAE2d520335ee372,5.00%,
Arbitrum,USDX/ USDT,0x5f244e8ac0FF2d2af14368fd8EFd1E508a50CF68,3.00%,
Mainnet,eBTC / wBTC,0x5d0aa3b7f4429e999c95d392e6c50c6555cd7816,3.00%,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,11%
,,,,TOTAL
,,,,100.00%
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,1200,,
,,100000,,
,,"$16,666.67",,
,,14,,
,,,,
Total USDC,"$100,000",,,
APY needed,6%,,,
Incentives per 1m,60000,,,
Incentives per wk,"$1,154",,,
Incentives per 6 wks,"$4,615",,,
Total TVL to support,22,,,
