Chain,Label,Gauge Address,Allocation %,Pool Adress,,,,"2,081,232",$0.0011,<- Emission $/Vote
,,,,,Core Liquidity,,,,,
Mainnet,V3 GHO/USDC/USDT,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,5.00%,https://balancer.fi/pools/ethereum/v3/0x85b2b559bc2d21104c4defdd6efca8a20343361d,,,,"104,062",$113.91,
Base,Aave GHO-USDC,0x1da19f38eb6f2c22199dc0848118b26095c29aed,10.00%,https://balancer.fi/pools/base/v3/0x7ab124ec4029316c2a42f713828ddf2a192b36db,,,,"208,123",$227.81,
Base ,Aave GHO-USR,0x1B7E33186C7e9C337508bB65EA9dc498aB14fcAE,7.00%,https://balancer.fi/pools/base/v3/0x5b14ce8de84448e9a6f6af652af318472aa4fcaf,,,,"145,686",$159.47,
Base,rETH-aWETH,0x31ccb4e5005fd37005523e6e3f1d084f9abe25b6,8.00%,https://balancer.fi/pools/base/v3/0xb7b8b3afc010169779c5c2385ec0eb0477fe3347,,,,"166,499",$182.25,
Arbitrum,rETH-Aave wETH,0xac3b3fff577561c58f126e4f6375f56476dd9fdb,4.00%,https://balancer.fi/pools/arbitrum/v3/0x5418a64e0cdb20548acb394f5d00a089baf02161,,,,"83,249",$91.13,
,,,,,34%,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,Biz Dev,,,,,
Avalanche,Aave Gho-USDT-USDC,0xd3ea1345352047bd039bac9d4177c883e06d449d,4.00%,https://balancer.fi/pools/avalanche/v3/0xfcec3c8d86329defb548202fe1b86ff2188603a8,,,,"83,249",$91.13,
Arbitrum,Aave wETH-wstETH,0xB2FcAd9fd42Affd0A90a996A1DEde4427435e5F8,5.00%,https://balancer.fi/pools/arbitrum/v3/0xc072880e1bc0bcddc99db882c7f3e7a839281cf4,,,,"104,062",$113.91,
Arbitrum,Aave Gho-USDT-USDC,0x9b237fa1958e3022464343137738926d38815801,4.00%,https://balancer.fi/pools/arbitrum/v3/0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,,,,"83,249",$91.13,
Mainnet,Aave Gho-USDf,0x52d28dff7759ca78978954ebabf87481bd5cf8f0,10.00%,https://balancer.fi/pools/ethereum/v3/0x6c5972311191097d002e804a9bf97c96c54059ed,,,,"208,123",$227.81,
Mainnet,TREE-WETH,0xdbd4dd2d5e0b927022c2be8d493f20e79e60c2e7,10.00%,https://balancer.fi/pools/ethereum/v3/0xdaba3d8ccf79ef289a7e2dbce51871b39ea445a2,,,,"208,123",$227.81,
Arbitrum,EURe-Aave USDC,0x7f49d37d0da53a4899bc0ba916f59ec9d4e6d1e2,8.00%,https://balancer.fi/pools/arbitrum/v3/0xa978cc348a0b5de8bd564a1d8fe437787fd12664,,,,"166,499",$182.25,
Base,BTF:BMACRO,0xaa23fc5fafba846f07181761903fb9350e954c34,5.00%,https://balancer.fi/pools/base/v3/0xb4161aea25bd6c5c8590ad50deb4ca752532f05d,,,,"104,062",$113.91,
Mainnet,AAVE-WETH [reclamm],0x6ba97c44aecf7cc15b05947c172a6d797ce96693,5.00%,https://balancer.fi/pools/ethereum/v3/0x9d1fcf346ea1b073de4d5834e25572cc6ad71f4d,,,,"104,062",$113.91,
Arbitrum,AAVE-WETH [reclamm],0x3c982431ffde3447a2086495631d1af27bd5686d,5.00%,https://balancer.fi/pools/arbitrum/v3/0x5ea58d57952b028c40bd200e5aff20fc4b590f51,,,,"104,062",$113.91,
Avalanche,tAVAX-Aave SAVAX,0xf53b66d40d166eb8f6e33ba2cd4af35c81a4c6c2,10.00%,https://balancer.fi/pools/avalanche/v3/0x832f8e068e92d56b94205ea605e5cdaa7cded1f0,,,,"208,123",$227.81,
,,,,,66%,,,,,
,,,,,TOTAL,,,"2,081,232","$2,278.13",
,,,,,100.00%,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Premisses,,,,,,,,,,
Aura total veBAL,"3,592,918",,,,,,,,,
veBAL % Aura holds,65.43%,,,,,,,,,
AURA veBAL voting power USD,"$45,867.89",,,,,,,,,
Our voting power in vlAURA,"$2,278.13",,,,,,,,,
We have % of vlAURA,4.97%,,,,,,,,,
BAL weekly emitions,"86,200",,,,,,,,,
BAL price USD,$0.81,,,,,,,,,
$/ vlAURA vote,$0.0011,,,,,,,,,
Total vlAURA supply,"41,903,607.09",<-- from https://www.defiwars.xyz/wars/aura,,,,,,,,
BAL / % of votes,28.01,,,,,,,,,
