Chain,Label,Gauge Address,Allocation %,Pool Adress,,"2,323,131",$0.0008,<- Emission $/Vote
,,,,,,,,
Mainnet,Aave GHO/USDT/USDC,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,5.00%,https://balancer.fi/pools/ethereum/v3/0x85b2b559bc2d21104c4defdd6efca8a20343361d,From 10% to 5%,"116,157",$90.05,
Base,Aave GHO-USDC,0x1da19f38eb6f2c22199dc0848118b26095c29aed,5.00%,https://balancer.fi/pools/base/v3/0x7ab124ec4029316c2a42f713828ddf2a192b36db,,"116,157",$90.05,
Base,rETH-aWETH,0x31ccb4e5005fd37005523e6e3f1d084f9abe25b6,5.00%,https://balancer.fi/pools/base/v3/0xb7b8b3afc010169779c5c2385ec0eb0477fe3347,,"116,157",$90.05,
Arbitrum,rETH-Aave wETH,0xac3b3fff577561c58f126e4f6375f56476dd9fdb,3.00%,https://balancer.fi/pools/arbitrum/v3/0x5418a64e0cdb20548acb394f5d00a089baf02161,,"69,694",$54.03,
,,,,,,0,$0.00,
,,,,,,0,$0.00,
Mainnet,reCLAMM-AAVE-WETH,0x6ba97c44aecf7cc15b05947c172a6d797ce96693,10.00%,https://balancer.fi/pools/ethereum/v3/0x9d1fcf346ea1b073de4d5834e25572cc6ad71f4d,From 0% to 10%,"232,313",$180.10,
Mainnet,Safe Haven-BTC:PAXG:USDC,0x093e02dec0b5a40c03d84ecda6058ad91436923f,2.00%,https://balancer.fi/pools/ethereum/v3/0x6b61d8680c4f9e560c8306807908553f95c749c5,From 0% to 2%,"46,463",$36.02,
Arbitrum,Aave Gho-USDT-USDC,0x9b237fa1958e3022464343137738926d38815801,2.00%,https://balancer.fi/pools/arbitrum/v3/0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,From 4% to 2%,"46,463",$36.02,
Mainnet,TREE-WETH,0xdbd4dd2d5e0b927022c2be8d493f20e79e60c2e7,2.00%,https://balancer.fi/pools/ethereum/v3/0xdaba3d8ccf79ef289a7e2dbce51871b39ea445a2,From 4% to 2%,"46,463",$36.02,
Arbitrum,EURe-Aave USDC,0x7f49d37d0da53a4899bc0ba916f59ec9d4e6d1e2,3.00%,https://balancer.fi/pools/arbitrum/v3/0xa978cc348a0b5de8bd564a1d8fe437787fd12664,From 5% to 3%,"69,694",$54.03,
Base,BTF:BMACRO,0xaa23fc5fafba846f07181761903fb9350e954c34,3.00%,https://balancer.fi/pools/base/v3/0xb4161aea25bd6c5c8590ad50deb4ca752532f05d,From 5% to 3%,"69,694",$54.03,
Mainnet,Surge Fluid wstETH-wETH,0x1cce9d493224a19fcb5f7fbade8478630141cb54,0.00%,https://balancer.fi/pools/ethereum/v3/0x6b31a94029fd7840d780191b6d63fa0d269bd883,From 4% to 0%,0,$0.00,
Mainnet,osETH-waWETH,0x70a1c01902dab7a45dca1098ca76a8314dd8adba,30.00%,https://balancer.fi/pools/ethereum/v3/0x57c23c58b1d8c3292c15becf07c62c5c52457a42,,"696,939",$540.30,
Mainnet,rETH-waEthWETH,0x62a66eb9abf7a788f48d0ce7c0c065df9e09da19,30.00%,https://balancer.fi/pools/ethereum/v3/0x1ea5870f7c037930ce1d5d8d9317c670e89e13e3,From 25% to 30%,"696,939",$540.30,
,,,,,,,,
,,,TOTAL,,,"2,323,131","$1,801.00",
,,,100.00%,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Premisses,,,,,,,,
Aura total veBAL,"3,592,918",,,,,,,
veBAL % Aura holds,66.44%,,,,,,,
AURA veBAL voting power USD,"$31,712.54",,,,,,,
Our voting power in vlAURA,"$1,801.00",,,,,,,
We have % of vlAURA,5.68%,,,,,,,
BAL weekly emitions,"86,200",,,,,,,
BAL price USD,$0.55,,,,,,,
$/ vlAURA vote,$0.0008,,,,,,,
Total vlAURA supply,"40,906,421.67",<-- from https://www.defiwars.xyz/wars/aura,,,,,,
BAL / % of votes,32.53,,,,,,,
