Chain,Label,Gauge Address,Allocation %,Pool Adress,Unnamed: 5,"2,323,131",$0.0007,<- Emission $/Vote,snapshot_label,snapshot_index,share
Mainnet,Aave GHO/USDT/USDC,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,5.00%,https://balancer.fi/pools/ethereum/v3/0x85b2b559bc2d21104c4defdd6efca8a20343361d,,"116,157",$80.89,,Stable Aave Prime GHO/waEthUSDC/waEthUSDT,32,5.0
Base,Aave GHO-USDC,0x1da19f38eb6f2c22199dc0848118b26095c29aed,5.00%,https://balancer.fi/pools/base/v3/0x7ab124ec4029316c2a42f713828ddf2a192b36db,,"116,157",$80.89,,b-Stable waBasGHO/waBasUSDC,138,5.0
Base,rETH-aWETH,0x31ccb4e5005fd37005523e6e3f1d084f9abe25b6,5.00%,https://balancer.fi/pools/base/v3/0xb7b8b3afc010169779c5c2385ec0eb0477fe3347,,"116,157",$80.89,,b-Stable rETH/waBasWETH,132,5.0
Arbitrum,rETH-Aave wETH,0xac3b3fff577561c58f126e4f6375f56476dd9fdb,3.00%,https://balancer.fi/pools/arbitrum/v3/0x5418a64e0cdb20548acb394f5d00a089baf02161,,"69,694",$48.53,,a-Stable rETH/waArbWETH,80,3.0
Mainnet,reCLAMM-AAVE-WETH,0x6ba97c44aecf7cc15b05947c172a6d797ce96693,30.00%,https://balancer.fi/pools/ethereum/v3/0x9d1fcf346ea1b073de4d5834e25572cc6ad71f4d,From 10% to 30%,"696,939",$485.35,,Reclamm AAVE/WETH,28,30.0
Mainnet,Safe Haven-BTC:PAXG:USDC,0x093e02dec0b5a40c03d84ecda6058ad91436923f,2.00%,https://balancer.fi/pools/ethereum/v3/0x6b61d8680c4f9e560c8306807908553f95c749c5,,"46,463",$32.36,,QuantAmmWeighted PAXG/WBTC/USDC,27,2.0
Arbitrum,Aave Gho-USDT-USDC,0x9b237fa1958e3022464343137738926d38815801,5.00%,https://balancer.fi/pools/arbitrum/v3/0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,From 2% to 5%,"116,157",$80.89,,a-Stable waArbGHO/waArbUSDCn/waArbUSDT,85,5.0
Mainnet,TREE-WETH,0xdbd4dd2d5e0b927022c2be8d493f20e79e60c2e7,2.00%,https://balancer.fi/pools/ethereum/v3/0xdaba3d8ccf79ef289a7e2dbce51871b39ea445a2,,"46,463",$32.36,,80/20 TREE/waEthLidoWETH,18,2.0
Base,BTF:BMACRO,0xaa23fc5fafba846f07181761903fb9350e954c34,3.00%,https://balancer.fi/pools/base/v3/0xb4161aea25bd6c5c8590ad50deb4ca752532f05d,,"69,694",$48.53,,b-QuantAmmWeighted AERO/WETH/USDC/cbBTC,129,3.0
Mainnet,osETH-waWETH,0x70a1c01902dab7a45dca1098ca76a8314dd8adba,20.00%,https://balancer.fi/pools/ethereum/v3/0x57c23c58b1d8c3292c15becf07c62c5c52457a42,From 30% to 20%,"464,626",$323.57,,Stable osETH/waEthWETH,48,20.0
Mainnet,rETH-waEthWETH,0x62a66eb9abf7a788f48d0ce7c0c065df9e09da19,20.00%,https://balancer.fi/pools/ethereum/v3/0x1ea5870f7c037930ce1d5d8d9317c670e89e13e3,From 30% to 20%,"464,626",$323.57,,Stable rETH/waEthWETH,49,20.0
